"Statistic Label","Year","Age Group","NUTS 3 Region","UNIT","VALUE"
"Total period of fertility rate","1996","25 - 29 years","Mid-East","%",""
"Total period of fertility rate","1996","25 - 29 years","Midland","%",""
"Total period of fertility rate","1996","25 - 29 years","Mid-West","%",""
"Total period of fertility rate","1996","25 - 29 years","South-East","%",""
"Total period of fertility rate","1996","25 - 29 years","South-West","%",""
"Total period of fertility rate","1996","25 - 29 years","West","%",""
"Total period of fertility rate","1996","25 - 29 years","Ireland","%",""
"Total period of fertility rate","1996","30 - 34 years","Border","%",""
"Total period of fertility rate","1996","30 - 34 years","Dublin","%",""
"Total period of fertility rate","1996","30 - 34 years","Mid-East","%",""
"Total period of fertility rate","1996","30 - 34 years","Midland","%",""
"Total period of fertility rate","1996","30 - 34 years","Mid-West","%",""
"Total period of fertility rate","1996","30 - 34 years","South-East","%",""
"Total period of fertility rate","1996","30 - 34 years","South-West","%",""
"Total period of fertility rate","1996","30 - 34 years","West","%",""
"Total period of fertility rate","1996","30 - 34 years","Ireland","%",""
"Total period of fertility rate","1996","35 - 39 years","Border","%",""
"Total period of fertility rate","1996","35 - 39 years","Dublin","%",""
"Total period of fertility rate","1996","35 - 39 years","Mid-East","%",""
"Total period of fertility rate","1996","35 - 39 years","Midland","%",""
"Total period of fertility rate","1996","35 - 39 years","Mid-West","%",""
"Total period of fertility rate","1996","35 - 39 years","South-East","%",""
"Total period of fertility rate","1996","35 - 39 years","South-West","%",""
"Total period of fertility rate","1996","35 - 39 years","West","%",""
"Total period of fertility rate","1996","35 - 39 years","Ireland","%",""
"Total period of fertility rate","1996","40 - 44 years","Border","%",""
"Total period of fertility rate","1996","40 - 44 years","Dublin","%",""
"Total period of fertility rate","1996","40 - 44 years","Mid-East","%",""
"Total period of fertility rate","1996","40 - 44 years","Midland","%",""
"Total period of fertility rate","1996","40 - 44 years","Mid-West","%",""
"Total period of fertility rate","1996","40 - 44 years","South-East","%",""
"Total period of fertility rate","1996","40 - 44 years","South-West","%",""
"Total period of fertility rate","1996","40 - 44 years","West","%",""
"Total period of fertility rate","1996","40 - 44 years","Ireland","%",""
"Total period of fertility rate","1996","45 - 49 years","Border","%",""
"Total period of fertility rate","1996","45 - 49 years","Dublin","%",""
"Total period of fertility rate","1996","45 - 49 years","Mid-East","%",""
"Total period of fertility rate","1996","45 - 49 years","Midland","%",""
"Total period of fertility rate","1996","45 - 49 years","Mid-West","%",""
"Total period of fertility rate","1996","45 - 49 years","South-East","%",""
"Total period of fertility rate","1996","45 - 49 years","South-West","%",""
"Total period of fertility rate","1996","45 - 49 years","West","%",""
"Total period of fertility rate","1996","45 - 49 years","Ireland","%",""
"Total period of fertility rate","1997","All ages","Border","%",""
"Total period of fertility rate","1997","All ages","Dublin","%",""
"Total period of fertility rate","1997","All ages","Mid-East","%",""
"Total period of fertility rate","1997","All ages","Midland","%",""
"Total period of fertility rate","1997","All ages","Mid-West","%",""
"Total period of fertility rate","1997","All ages","South-East","%",""
"Total period of fertility rate","1997","All ages","South-West","%",""
"Total period of fertility rate","1997","All ages","West","%",""
"Total period of fertility rate","1997","All ages","Ireland","%","1.94"
"Total period of fertility rate","1997","15 - 19 years","Border","%",""
"Total period of fertility rate","1997","15 - 19 years","Dublin","%",""
"Total period of fertility rate","1997","15 - 19 years","Mid-East","%",""
"Total period of fertility rate","1997","15 - 19 years","Midland","%",""
"Total period of fertility rate","1997","15 - 19 years","Mid-West","%",""
"Total period of fertility rate","1997","15 - 19 years","South-East","%",""
"Total period of fertility rate","1997","15 - 19 years","South-West","%",""
"Total period of fertility rate","1997","15 - 19 years","West","%",""
"Total period of fertility rate","1997","15 - 19 years","Ireland","%",""
"Total period of fertility rate","1997","20 - 24 years","Border","%",""
"Total period of fertility rate","1997","20 - 24 years","Dublin","%",""
"Total period of fertility rate","1997","20 - 24 years","Mid-East","%",""
"Total period of fertility rate","1997","20 - 24 years","Midland","%",""
"Total period of fertility rate","1997","20 - 24 years","Mid-West","%",""
"Total period of fertility rate","1997","20 - 24 years","South-East","%",""
"Total period of fertility rate","1997","20 - 24 years","South-West","%",""
"Total period of fertility rate","1997","20 - 24 years","West","%",""
"Total period of fertility rate","1997","20 - 24 years","Ireland","%",""
"Total period of fertility rate","1997","25 - 29 years","Border","%",""
"Total period of fertility rate","1997","25 - 29 years","Dublin","%",""
"Total period of fertility rate","1997","25 - 29 years","Mid-East","%",""
"Total period of fertility rate","1997","25 - 29 years","Midland","%",""
"Total period of fertility rate","1997","25 - 29 years","Mid-West","%",""
"Total period of fertility rate","1997","25 - 29 years","South-East","%",""
"Total period of fertility rate","1997","25 - 29 years","South-West","%",""
"Total period of fertility rate","1997","25 - 29 years","West","%",""
"Total period of fertility rate","1997","25 - 29 years","Ireland","%",""
"Total period of fertility rate","1997","30 - 34 years","Border","%",""
"Total period of fertility rate","1997","30 - 34 years","Dublin","%",""
"Total period of fertility rate","1997","30 - 34 years","Mid-East","%",""
"Total period of fertility rate","1997","30 - 34 years","Midland","%",""
"Total period of fertility rate","1997","30 - 34 years","Mid-West","%",""
"Total period of fertility rate","1997","30 - 34 years","South-East","%",""
"Total period of fertility rate","1997","30 - 34 years","South-West","%",""
"Total period of fertility rate","1997","30 - 34 years","West","%",""
"Total period of fertility rate","1997","30 - 34 years","Ireland","%",""
"Total period of fertility rate","1997","35 - 39 years","Border","%",""
"Total period of fertility rate","1997","35 - 39 years","Dublin","%",""
"Total period of fertility rate","1997","35 - 39 years","Mid-East","%",""
"Total period of fertility rate","1997","35 - 39 years","Midland","%",""
"Total period of fertility rate","1997","35 - 39 years","Mid-West","%",""
"Total period of fertility rate","1997","35 - 39 years","South-East","%",""
"Total period of fertility rate","1997","35 - 39 years","South-West","%",""
"Total period of fertility rate","1997","35 - 39 years","West","%",""
"Total period of fertility rate","1997","35 - 39 years","Ireland","%",""
"Total period of fertility rate","1997","40 - 44 years","Border","%",""
"Total period of fertility rate","1997","40 - 44 years","Dublin","%",""
"Total period of fertility rate","1997","40 - 44 years","Mid-East","%",""
"Total period of fertility rate","1997","40 - 44 years","Midland","%",""
"Total period of fertility rate","1997","40 - 44 years","Mid-West","%",""
"Total period of fertility rate","1997","40 - 44 years","South-East","%",""
"Total period of fertility rate","1997","40 - 44 years","South-West","%",""
"Total period of fertility rate","1997","40 - 44 years","West","%",""
"Total period of fertility rate","1997","40 - 44 years","Ireland","%",""
"Total period of fertility rate","1997","45 - 49 years","Border","%",""
"Total period of fertility rate","1997","45 - 49 years","Dublin","%",""
"Total period of fertility rate","1997","45 - 49 years","Mid-East","%",""
"Total period of fertility rate","1997","45 - 49 years","Midland","%",""
"Total period of fertility rate","1997","45 - 49 years","Mid-West","%",""
"Total period of fertility rate","1997","45 - 49 years","South-East","%",""
"Total period of fertility rate","1997","45 - 49 years","South-West","%",""
"Total period of fertility rate","1997","45 - 49 years","West","%",""
"Total period of fertility rate","1997","45 - 49 years","Ireland","%",""
"Total period of fertility rate","1998","All ages","Border","%",""
"Total period of fertility rate","1998","All ages","Dublin","%",""
"Total period of fertility rate","1998","All ages","Mid-East","%",""
"Total period of fertility rate","1998","All ages","Midland","%",""
"Total period of fertility rate","1998","All ages","Mid-West","%",""
"Total period of fertility rate","1998","All ages","South-East","%",""
"Total period of fertility rate","1998","All ages","South-West","%",""
"Total period of fertility rate","1998","All ages","West","%",""
"Total period of fertility rate","1998","All ages","Ireland","%","1.95"
"Total period of fertility rate","1998","15 - 19 years","Border","%",""
"Total period of fertility rate","1998","15 - 19 years","Dublin","%",""
"Total period of fertility rate","1998","15 - 19 years","Mid-East","%",""
"Total period of fertility rate","1998","15 - 19 years","Midland","%",""
"Total period of fertility rate","1998","15 - 19 years","Mid-West","%",""
"Total period of fertility rate","1998","15 - 19 years","South-East","%",""
"Total period of fertility rate","1998","15 - 19 years","South-West","%",""
"Total period of fertility rate","1998","15 - 19 years","West","%",""
"Total period of fertility rate","1998","15 - 19 years","Ireland","%",""
"Total period of fertility rate","1998","20 - 24 years","Border","%",""
"Total period of fertility rate","1998","20 - 24 years","Dublin","%",""
"Total period of fertility rate","1998","20 - 24 years","Mid-East","%",""
"Total period of fertility rate","1998","20 - 24 years","Midland","%",""
"Total period of fertility rate","1998","20 - 24 years","Mid-West","%",""
"Total period of fertility rate","1998","20 - 24 years","South-East","%",""
"Total period of fertility rate","1998","20 - 24 years","South-West","%",""
"Total period of fertility rate","1998","20 - 24 years","West","%",""
"Total period of fertility rate","1998","20 - 24 years","Ireland","%",""
"Total period of fertility rate","1998","25 - 29 years","Border","%",""
"Total period of fertility rate","1998","25 - 29 years","Dublin","%",""
"Total period of fertility rate","1998","25 - 29 years","Mid-East","%",""
"Total period of fertility rate","1998","25 - 29 years","Midland","%",""
"Total period of fertility rate","1998","25 - 29 years","Mid-West","%",""
"Total period of fertility rate","1998","25 - 29 years","South-East","%",""
"Total period of fertility rate","1998","25 - 29 years","South-West","%",""
"Total period of fertility rate","1998","25 - 29 years","West","%",""
"Total period of fertility rate","1998","25 - 29 years","Ireland","%",""
"Total period of fertility rate","1998","30 - 34 years","Border","%",""
"Total period of fertility rate","1998","30 - 34 years","Dublin","%",""
"Total period of fertility rate","1998","30 - 34 years","Mid-East","%",""
"Total period of fertility rate","1998","30 - 34 years","Midland","%",""
"Total period of fertility rate","1998","30 - 34 years","Mid-West","%",""
"Total period of fertility rate","1998","30 - 34 years","South-East","%",""
"Total period of fertility rate","1998","30 - 34 years","South-West","%",""
"Total period of fertility rate","1998","30 - 34 years","West","%",""
"Total period of fertility rate","1998","30 - 34 years","Ireland","%",""
"Total period of fertility rate","1998","35 - 39 years","Border","%",""
"Total period of fertility rate","1998","35 - 39 years","Dublin","%",""
"Total period of fertility rate","1998","35 - 39 years","Mid-East","%",""
"Total period of fertility rate","1998","35 - 39 years","Midland","%",""
"Total period of fertility rate","1998","35 - 39 years","Mid-West","%",""
"Total period of fertility rate","1998","35 - 39 years","South-East","%",""
"Total period of fertility rate","1998","35 - 39 years","South-West","%",""
"Total period of fertility rate","1998","35 - 39 years","West","%",""
"Total period of fertility rate","1998","35 - 39 years","Ireland","%",""
"Total period of fertility rate","1998","40 - 44 years","Border","%",""
"Total period of fertility rate","1998","40 - 44 years","Dublin","%",""
"Total period of fertility rate","1998","40 - 44 years","Mid-East","%",""
"Total period of fertility rate","1998","40 - 44 years","Midland","%",""
"Total period of fertility rate","1998","40 - 44 years","Mid-West","%",""
"Total period of fertility rate","1998","40 - 44 years","South-East","%",""
"Total period of fertility rate","1998","40 - 44 years","South-West","%",""
"Total period of fertility rate","1998","40 - 44 years","West","%",""
"Total period of fertility rate","1998","40 - 44 years","Ireland","%",""
"Total period of fertility rate","1998","45 - 49 years","Border","%",""
"Total period of fertility rate","1998","45 - 49 years","Dublin","%",""
"Total period of fertility rate","1998","45 - 49 years","Mid-East","%",""
"Total period of fertility rate","1998","45 - 49 years","Midland","%",""
"Total period of fertility rate","1998","45 - 49 years","Mid-West","%",""
"Total period of fertility rate","1998","45 - 49 years","South-East","%",""
"Total period of fertility rate","1998","45 - 49 years","South-West","%",""
"Total period of fertility rate","1998","45 - 49 years","West","%",""
"Total period of fertility rate","1998","45 - 49 years","Ireland","%",""
"Total period of fertility rate","1999","All ages","Border","%",""
"Total period of fertility rate","1999","All ages","Dublin","%",""
"Total period of fertility rate","1999","All ages","Mid-East","%",""
"Total period of fertility rate","1999","All ages","Midland","%",""
"Total period of fertility rate","1999","All ages","Mid-West","%",""
"Total period of fertility rate","1999","All ages","South-East","%",""
"Total period of fertility rate","1999","All ages","South-West","%",""
"Total period of fertility rate","1999","All ages","West","%",""
"Total period of fertility rate","1999","All ages","Ireland","%","1.91"
"Total period of fertility rate","1999","15 - 19 years","Border","%",""
"Total period of fertility rate","1999","15 - 19 years","Dublin","%",""
"Total period of fertility rate","1999","15 - 19 years","Mid-East","%",""
"Total period of fertility rate","1999","15 - 19 years","Midland","%",""
"Total period of fertility rate","1999","15 - 19 years","Mid-West","%",""
"Total period of fertility rate","1999","15 - 19 years","South-East","%",""
"Total period of fertility rate","1999","15 - 19 years","South-West","%",""
"Total period of fertility rate","1999","15 - 19 years","West","%",""
"Total period of fertility rate","1999","15 - 19 years","Ireland","%",""
"Total period of fertility rate","1999","20 - 24 years","Border","%",""
"Total period of fertility rate","1999","20 - 24 years","Dublin","%",""
"Total period of fertility rate","1999","20 - 24 years","Mid-East","%",""
"Total period of fertility rate","1999","20 - 24 years","Midland","%",""
"Total period of fertility rate","1999","20 - 24 years","Mid-West","%",""
"Total period of fertility rate","1999","20 - 24 years","South-East","%",""
"Total period of fertility rate","1999","20 - 24 years","South-West","%",""
"Total period of fertility rate","1999","20 - 24 years","West","%",""
"Total period of fertility rate","1999","20 - 24 years","Ireland","%",""
"Total period of fertility rate","1999","25 - 29 years","Border","%",""
"Total period of fertility rate","1999","25 - 29 years","Dublin","%",""
"Total period of fertility rate","1999","25 - 29 years","Mid-East","%",""
"Total period of fertility rate","1999","25 - 29 years","Midland","%",""
"Total period of fertility rate","1999","25 - 29 years","Mid-West","%",""
"Total period of fertility rate","1999","25 - 29 years","South-East","%",""
"Total period of fertility rate","1999","25 - 29 years","South-West","%",""
"Total period of fertility rate","1999","25 - 29 years","West","%",""
"Total period of fertility rate","1999","25 - 29 years","Ireland","%",""
"Total period of fertility rate","1999","30 - 34 years","Border","%",""
"Total period of fertility rate","1999","30 - 34 years","Dublin","%",""
"Total period of fertility rate","1999","30 - 34 years","Mid-East","%",""
"Total period of fertility rate","1999","30 - 34 years","Midland","%",""
"Total period of fertility rate","1999","30 - 34 years","Mid-West","%",""
"Total period of fertility rate","1999","30 - 34 years","South-East","%",""
"Total period of fertility rate","1999","30 - 34 years","South-West","%",""
"Total period of fertility rate","1999","30 - 34 years","West","%",""
"Total period of fertility rate","1999","30 - 34 years","Ireland","%",""
"Total period of fertility rate","1999","35 - 39 years","Border","%",""
"Total period of fertility rate","1999","35 - 39 years","Dublin","%",""
"Total period of fertility rate","1999","35 - 39 years","Mid-East","%",""
"Total period of fertility rate","1999","35 - 39 years","Midland","%",""
"Total period of fertility rate","1999","35 - 39 years","Mid-West","%",""
"Total period of fertility rate","1999","35 - 39 years","South-East","%",""
"Total period of fertility rate","1999","35 - 39 years","South-West","%",""
"Total period of fertility rate","1999","35 - 39 years","West","%",""
"Total period of fertility rate","1999","35 - 39 years","Ireland","%",""
"Total period of fertility rate","1999","40 - 44 years","Border","%",""
"Total period of fertility rate","1999","40 - 44 years","Dublin","%",""
"Total period of fertility rate","1999","40 - 44 years","Mid-East","%",""
"Total period of fertility rate","1999","40 - 44 years","Midland","%",""
"Total period of fertility rate","1999","40 - 44 years","Mid-West","%",""
"Total period of fertility rate","1999","40 - 44 years","South-East","%",""
"Total period of fertility rate","1999","40 - 44 years","South-West","%",""
"Total period of fertility rate","1999","40 - 44 years","West","%",""
"Total period of fertility rate","1999","40 - 44 years","Ireland","%",""
"Total period of fertility rate","1999","45 - 49 years","Border","%",""
"Total period of fertility rate","1999","45 - 49 years","Dublin","%",""
"Total period of fertility rate","1999","45 - 49 years","Mid-East","%",""
"Total period of fertility rate","1999","45 - 49 years","Midland","%",""
"Total period of fertility rate","1999","45 - 49 years","Mid-West","%",""
"Total period of fertility rate","1999","45 - 49 years","South-East","%",""
"Total period of fertility rate","1999","45 - 49 years","South-West","%",""
"Total period of fertility rate","1999","45 - 49 years","West","%",""
"Total period of fertility rate","1999","45 - 49 years","Ireland","%",""
"Total period of fertility rate","2000","All ages","Border","%",""
"Total period of fertility rate","2000","All ages","Dublin","%",""
"Total period of fertility rate","2000","All ages","Mid-East","%",""
"Total period of fertility rate","2000","All ages","Midland","%",""
"Total period of fertility rate","2000","All ages","Mid-West","%",""
"Total period of fertility rate","2000","All ages","South-East","%",""
"Total period of fertility rate","2000","All ages","South-West","%",""
"Total period of fertility rate","2000","All ages","West","%",""
"Total period of fertility rate","2000","All ages","Ireland","%","1.9"
"Total period of fertility rate","2000","15 - 19 years","Border","%",""
"Total period of fertility rate","2000","15 - 19 years","Dublin","%",""
"Total period of fertility rate","2000","15 - 19 years","Mid-East","%",""
"Total period of fertility rate","2000","15 - 19 years","Midland","%",""
"Total period of fertility rate","2000","15 - 19 years","Mid-West","%",""
"Total period of fertility rate","2000","15 - 19 years","South-East","%",""
"Total period of fertility rate","2000","15 - 19 years","South-West","%",""
"Total period of fertility rate","2000","15 - 19 years","West","%",""
"Total period of fertility rate","2000","15 - 19 years","Ireland","%",""
"Total period of fertility rate","2000","20 - 24 years","Border","%",""
"Total period of fertility rate","2000","20 - 24 years","Dublin","%",""
"Total period of fertility rate","2000","20 - 24 years","Mid-East","%",""
"Total period of fertility rate","2000","20 - 24 years","Midland","%",""
"Total period of fertility rate","2000","20 - 24 years","Mid-West","%",""
"Total period of fertility rate","2000","20 - 24 years","South-East","%",""
"Total period of fertility rate","2000","20 - 24 years","South-West","%",""
"Total period of fertility rate","2000","20 - 24 years","West","%",""
"Total period of fertility rate","2000","20 - 24 years","Ireland","%",""
"Total period of fertility rate","2000","25 - 29 years","Border","%",""
"Total period of fertility rate","2000","25 - 29 years","Dublin","%",""
"Total period of fertility rate","2000","25 - 29 years","Mid-East","%",""
"Total period of fertility rate","2000","25 - 29 years","Midland","%",""
"Total period of fertility rate","2000","25 - 29 years","Mid-West","%",""
"Total period of fertility rate","2000","25 - 29 years","South-East","%",""
"Total period of fertility rate","2000","25 - 29 years","South-West","%",""
"Total period of fertility rate","2000","25 - 29 years","West","%",""
"Total period of fertility rate","2000","25 - 29 years","Ireland","%",""
"Total period of fertility rate","2000","30 - 34 years","Border","%",""
"Total period of fertility rate","2000","30 - 34 years","Dublin","%",""
"Total period of fertility rate","2000","30 - 34 years","Mid-East","%",""
"Total period of fertility rate","2000","30 - 34 years","Midland","%",""
"Total period of fertility rate","2000","30 - 34 years","Mid-West","%",""
"Total period of fertility rate","2000","30 - 34 years","South-East","%",""
"Total period of fertility rate","2000","30 - 34 years","South-West","%",""
"Total period of fertility rate","2000","30 - 34 years","West","%",""
"Total period of fertility rate","2000","30 - 34 years","Ireland","%",""
"Total period of fertility rate","2000","35 - 39 years","Border","%",""
"Total period of fertility rate","2000","35 - 39 years","Dublin","%",""
"Total period of fertility rate","2000","35 - 39 years","Mid-East","%",""
"Total period of fertility rate","2000","35 - 39 years","Midland","%",""
"Total period of fertility rate","2000","35 - 39 years","Mid-West","%",""
"Total period of fertility rate","2000","35 - 39 years","South-East","%",""
"Total period of fertility rate","2000","35 - 39 years","South-West","%",""
"Total period of fertility rate","2000","35 - 39 years","West","%",""
"Total period of fertility rate","2000","35 - 39 years","Ireland","%",""
"Total period of fertility rate","2000","40 - 44 years","Border","%",""
"Total period of fertility rate","2000","40 - 44 years","Dublin","%",""
"Total period of fertility rate","2000","40 - 44 years","Mid-East","%",""
"Total period of fertility rate","2000","40 - 44 years","Midland","%",""
"Total period of fertility rate","2000","40 - 44 years","Mid-West","%",""
"Total period of fertility rate","2000","40 - 44 years","South-East","%",""
"Total period of fertility rate","2000","40 - 44 years","South-West","%",""
"Total period of fertility rate","2000","40 - 44 years","West","%",""
"Total period of fertility rate","2000","40 - 44 years","Ireland","%",""
"Total period of fertility rate","2000","45 - 49 years","Border","%",""
"Total period of fertility rate","2000","45 - 49 years","Dublin","%",""
"Total period of fertility rate","2000","45 - 49 years","Mid-East","%",""
"Total period of fertility rate","2000","45 - 49 years","Midland","%",""
"Total period of fertility rate","2000","45 - 49 years","Mid-West","%",""
"Total period of fertility rate","2000","45 - 49 years","South-East","%",""
"Total period of fertility rate","2000","45 - 49 years","South-West","%",""
"Total period of fertility rate","2000","45 - 49 years","West","%",""
"Total period of fertility rate","2000","45 - 49 years","Ireland","%",""
"Total period of fertility rate","2001","All ages","Border","%",""
"Total period of fertility rate","2001","All ages","Dublin","%",""
"Total period of fertility rate","2001","All ages","Mid-East","%",""
"Total period of fertility rate","2001","All ages","Midland","%",""
"Total period of fertility rate","2001","All ages","Mid-West","%",""
"Total period of fertility rate","2001","All ages","South-East","%",""
"Total period of fertility rate","2001","All ages","South-West","%",""
"Total period of fertility rate","2001","All ages","West","%",""
"Total period of fertility rate","2001","All ages","Ireland","%","1.96"
"Total period of fertility rate","2001","15 - 19 years","Border","%",""
"Total period of fertility rate","2001","15 - 19 years","Dublin","%",""
"Total period of fertility rate","2001","15 - 19 years","Mid-East","%",""
"Total period of fertility rate","2001","15 - 19 years","Midland","%",""
"Total period of fertility rate","2001","15 - 19 years","Mid-West","%",""
"Total period of fertility rate","2001","15 - 19 years","South-East","%",""
"Total period of fertility rate","2001","15 - 19 years","South-West","%",""
"Total period of fertility rate","2001","15 - 19 years","West","%",""
"Total period of fertility rate","2001","15 - 19 years","Ireland","%",""
"Total period of fertility rate","2001","20 - 24 years","Border","%",""
"Total period of fertility rate","2001","20 - 24 years","Dublin","%",""
"Total period of fertility rate","2001","20 - 24 years","Mid-East","%",""
"Total period of fertility rate","2001","20 - 24 years","Midland","%",""
"Total period of fertility rate","2001","20 - 24 years","Mid-West","%",""
"Total period of fertility rate","2001","20 - 24 years","South-East","%",""
"Total period of fertility rate","2001","20 - 24 years","South-West","%",""
"Total period of fertility rate","2001","20 - 24 years","West","%",""
"Total period of fertility rate","2001","20 - 24 years","Ireland","%",""
"Total period of fertility rate","2001","25 - 29 years","Border","%",""
"Total period of fertility rate","2001","25 - 29 years","Dublin","%",""
"Total period of fertility rate","2001","25 - 29 years","Mid-East","%",""
"Total period of fertility rate","2001","25 - 29 years","Midland","%",""
"Total period of fertility rate","2001","25 - 29 years","Mid-West","%",""
"Total period of fertility rate","2001","25 - 29 years","South-East","%",""
"Total period of fertility rate","2001","25 - 29 years","South-West","%",""
"Total period of fertility rate","2001","25 - 29 years","West","%",""
"Total period of fertility rate","2001","25 - 29 years","Ireland","%",""
"Total period of fertility rate","2001","30 - 34 years","Border","%",""
"Total period of fertility rate","2001","30 - 34 years","Dublin","%",""
"Total period of fertility rate","2001","30 - 34 years","Mid-East","%",""
"Total period of fertility rate","2001","30 - 34 years","Midland","%",""
"Total period of fertility rate","2001","30 - 34 years","Mid-West","%",""
"Total period of fertility rate","2001","30 - 34 years","South-East","%",""
"Total period of fertility rate","2001","30 - 34 years","South-West","%",""
"Total period of fertility rate","2001","30 - 34 years","West","%",""
"Total period of fertility rate","2001","30 - 34 years","Ireland","%",""
"Total period of fertility rate","2001","35 - 39 years","Border","%",""
"Total period of fertility rate","2001","35 - 39 years","Dublin","%",""
"Total period of fertility rate","2001","35 - 39 years","Mid-East","%",""
"Total period of fertility rate","2001","35 - 39 years","Midland","%",""
"Total period of fertility rate","2001","35 - 39 years","Mid-West","%",""
"Total period of fertility rate","2001","35 - 39 years","South-East","%",""
"Total period of fertility rate","2001","35 - 39 years","South-West","%",""
"Total period of fertility rate","2001","35 - 39 years","West","%",""
"Total period of fertility rate","2001","35 - 39 years","Ireland","%",""
"Total period of fertility rate","2001","40 - 44 years","Border","%",""
"Total period of fertility rate","2001","40 - 44 years","Dublin","%",""
"Total period of fertility rate","2001","40 - 44 years","Mid-East","%",""
"Total period of fertility rate","2001","40 - 44 years","Midland","%",""
"Total period of fertility rate","2001","40 - 44 years","Mid-West","%",""
"Total period of fertility rate","2001","40 - 44 years","South-East","%",""
"Total period of fertility rate","2001","40 - 44 years","South-West","%",""
"Total period of fertility rate","2001","40 - 44 years","West","%",""
"Total period of fertility rate","2001","40 - 44 years","Ireland","%",""
"Total period of fertility rate","2001","45 - 49 years","Border","%",""
"Total period of fertility rate","2001","45 - 49 years","Dublin","%",""
"Total period of fertility rate","2001","45 - 49 years","Mid-East","%",""
"Total period of fertility rate","2001","45 - 49 years","Midland","%",""
"Total period of fertility rate","2001","45 - 49 years","Mid-West","%",""
"Total period of fertility rate","2001","45 - 49 years","South-East","%",""
"Total period of fertility rate","2001","45 - 49 years","South-West","%",""
"Total period of fertility rate","2001","45 - 49 years","West","%",""
"Total period of fertility rate","2001","45 - 49 years","Ireland","%",""
"Total period of fertility rate","2002","All ages","Border","%",""
"Total period of fertility rate","2002","All ages","Dublin","%",""
"Total period of fertility rate","2002","All ages","Mid-East","%",""
"Total period of fertility rate","2002","All ages","Midland","%",""
"Total period of fertility rate","2002","All ages","Mid-West","%",""
"Total period of fertility rate","2002","All ages","South-East","%",""
"Total period of fertility rate","2002","All ages","South-West","%",""
"Total period of fertility rate","2002","All ages","West","%",""
"Total period of fertility rate","2002","All ages","Ireland","%","1.98"
"Total period of fertility rate","2002","15 - 19 years","Border","%",""
"Total period of fertility rate","2002","15 - 19 years","Dublin","%",""
"Total period of fertility rate","2002","15 - 19 years","Mid-East","%",""
"Total period of fertility rate","2002","15 - 19 years","Midland","%",""
"Total period of fertility rate","2002","15 - 19 years","Mid-West","%",""
"Total period of fertility rate","2002","15 - 19 years","South-East","%",""
"Total period of fertility rate","2002","15 - 19 years","South-West","%",""
"Total period of fertility rate","2002","15 - 19 years","West","%",""
"Total period of fertility rate","2002","15 - 19 years","Ireland","%",""
"Total period of fertility rate","2002","20 - 24 years","Border","%",""
"Total period of fertility rate","2002","20 - 24 years","Dublin","%",""
"Total period of fertility rate","2002","20 - 24 years","Mid-East","%",""
"Total period of fertility rate","2002","20 - 24 years","Midland","%",""
"Total period of fertility rate","2002","20 - 24 years","Mid-West","%",""
"Total period of fertility rate","2002","20 - 24 years","South-East","%",""
"Total period of fertility rate","2002","20 - 24 years","South-West","%",""
"Total period of fertility rate","2002","20 - 24 years","West","%",""
"Total period of fertility rate","2002","20 - 24 years","Ireland","%",""
"Total period of fertility rate","2002","25 - 29 years","Border","%",""
"Total period of fertility rate","2002","25 - 29 years","Dublin","%",""
"Total period of fertility rate","2002","25 - 29 years","Mid-East","%",""
"Total period of fertility rate","2002","25 - 29 years","Midland","%",""
"Total period of fertility rate","2002","25 - 29 years","Mid-West","%",""
"Total period of fertility rate","2002","25 - 29 years","South-East","%",""
"Total period of fertility rate","2002","25 - 29 years","South-West","%",""
"Total period of fertility rate","2002","25 - 29 years","West","%",""
"Total period of fertility rate","2002","25 - 29 years","Ireland","%",""
"Total period of fertility rate","2002","30 - 34 years","Border","%",""
"Total period of fertility rate","2002","30 - 34 years","Dublin","%",""
"Total period of fertility rate","2002","30 - 34 years","Mid-East","%",""
"Total period of fertility rate","2002","30 - 34 years","Midland","%",""
"Total period of fertility rate","2002","30 - 34 years","Mid-West","%",""
"Total period of fertility rate","2002","30 - 34 years","South-East","%",""
"Total period of fertility rate","2002","30 - 34 years","South-West","%",""
"Total period of fertility rate","2002","30 - 34 years","West","%",""
"Total period of fertility rate","2002","30 - 34 years","Ireland","%",""
"Total period of fertility rate","2002","35 - 39 years","Border","%",""
"Total period of fertility rate","2002","35 - 39 years","Dublin","%",""
"Total period of fertility rate","2002","35 - 39 years","Mid-East","%",""
"Total period of fertility rate","2002","35 - 39 years","Midland","%",""
"Total period of fertility rate","2002","35 - 39 years","Mid-West","%",""
"Total period of fertility rate","2002","35 - 39 years","South-East","%",""
"Total period of fertility rate","2002","35 - 39 years","South-West","%",""
"Total period of fertility rate","2002","35 - 39 years","West","%",""
"Total period of fertility rate","2002","35 - 39 years","Ireland","%",""
"Total period of fertility rate","2002","40 - 44 years","Border","%",""
"Total period of fertility rate","2002","40 - 44 years","Dublin","%",""
"Total period of fertility rate","2002","40 - 44 years","Mid-East","%",""
"Total period of fertility rate","2002","40 - 44 years","Midland","%",""
"Total period of fertility rate","2002","40 - 44 years","Mid-West","%",""
"Total period of fertility rate","2002","40 - 44 years","South-East","%",""
"Total period of fertility rate","2002","40 - 44 years","South-West","%",""
"Total period of fertility rate","2002","40 - 44 years","West","%",""
"Total period of fertility rate","2002","40 - 44 years","Ireland","%",""
