"Statistic Label","Year","Age Group","NUTS 3 Region","UNIT","VALUE"
"Total period of fertility rate","1970","20 - 24 years","Midland","%",""
"Total period of fertility rate","1970","20 - 24 years","Mid-West","%",""
"Total period of fertility rate","1970","20 - 24 years","South-East","%",""
"Total period of fertility rate","1970","20 - 24 years","South-West","%",""
"Total period of fertility rate","1970","20 - 24 years","West","%",""
"Total period of fertility rate","1970","20 - 24 years","Ireland","%",""
"Total period of fertility rate","1970","25 - 29 years","Border","%",""
"Total period of fertility rate","1970","25 - 29 years","Dublin","%",""
"Total period of fertility rate","1970","25 - 29 years","Mid-East","%",""
"Total period of fertility rate","1970","25 - 29 years","Midland","%",""
"Total period of fertility rate","1970","25 - 29 years","Mid-West","%",""
"Total period of fertility rate","1970","25 - 29 years","South-East","%",""
"Total period of fertility rate","1970","25 - 29 years","South-West","%",""
"Total period of fertility rate","1970","25 - 29 years","West","%",""
"Total period of fertility rate","1970","25 - 29 years","Ireland","%",""
"Total period of fertility rate","1970","30 - 34 years","Border","%",""
"Total period of fertility rate","1970","30 - 34 years","Dublin","%",""
"Total period of fertility rate","1970","30 - 34 years","Mid-East","%",""
"Total period of fertility rate","1970","30 - 34 years","Midland","%",""
"Total period of fertility rate","1970","30 - 34 years","Mid-West","%",""
"Total period of fertility rate","1970","30 - 34 years","South-East","%",""
"Total period of fertility rate","1970","30 - 34 years","South-West","%",""
"Total period of fertility rate","1970","30 - 34 years","West","%",""
"Total period of fertility rate","1970","30 - 34 years","Ireland","%",""
"Total period of fertility rate","1970","35 - 39 years","Border","%",""
"Total period of fertility rate","1970","35 - 39 years","Dublin","%",""
"Total period of fertility rate","1970","35 - 39 years","Mid-East","%",""
"Total period of fertility rate","1970","35 - 39 years","Midland","%",""
"Total period of fertility rate","1970","35 - 39 years","Mid-West","%",""
"Total period of fertility rate","1970","35 - 39 years","South-East","%",""
"Total period of fertility rate","1970","35 - 39 years","South-West","%",""
"Total period of fertility rate","1970","35 - 39 years","West","%",""
"Total period of fertility rate","1970","35 - 39 years","Ireland","%",""
"Total period of fertility rate","1970","40 - 44 years","Border","%",""
"Total period of fertility rate","1970","40 - 44 years","Dublin","%",""
"Total period of fertility rate","1970","40 - 44 years","Mid-East","%",""
"Total period of fertility rate","1970","40 - 44 years","Midland","%",""
"Total period of fertility rate","1970","40 - 44 years","Mid-West","%",""
"Total period of fertility rate","1970","40 - 44 years","South-East","%",""
"Total period of fertility rate","1970","40 - 44 years","South-West","%",""
"Total period of fertility rate","1970","40 - 44 years","West","%",""
"Total period of fertility rate","1970","40 - 44 years","Ireland","%",""
"Total period of fertility rate","1970","45 - 49 years","Border","%",""
"Total period of fertility rate","1970","45 - 49 years","Dublin","%",""
"Total period of fertility rate","1970","45 - 49 years","Mid-East","%",""
"Total period of fertility rate","1970","45 - 49 years","Midland","%",""
"Total period of fertility rate","1970","45 - 49 years","Mid-West","%",""
"Total period of fertility rate","1970","45 - 49 years","South-East","%",""
"Total period of fertility rate","1970","45 - 49 years","South-West","%",""
"Total period of fertility rate","1970","45 - 49 years","West","%",""
"Total period of fertility rate","1970","45 - 49 years","Ireland","%",""
"Total period of fertility rate","1971","All ages","Border","%",""
"Total period of fertility rate","1971","All ages","Dublin","%",""
"Total period of fertility rate","1971","All ages","Mid-East","%",""
"Total period of fertility rate","1971","All ages","Midland","%",""
"Total period of fertility rate","1971","All ages","Mid-West","%",""
"Total period of fertility rate","1971","All ages","South-East","%",""
"Total period of fertility rate","1971","All ages","South-West","%",""
"Total period of fertility rate","1971","All ages","West","%",""
"Total period of fertility rate","1971","All ages","Ireland","%","3.98"
"Total period of fertility rate","1971","15 - 19 years","Border","%",""
"Total period of fertility rate","1971","15 - 19 years","Dublin","%",""
"Total period of fertility rate","1971","15 - 19 years","Mid-East","%",""
"Total period of fertility rate","1971","15 - 19 years","Midland","%",""
"Total period of fertility rate","1971","15 - 19 years","Mid-West","%",""
"Total period of fertility rate","1971","15 - 19 years","South-East","%",""
"Total period of fertility rate","1971","15 - 19 years","South-West","%",""
"Total period of fertility rate","1971","15 - 19 years","West","%",""
"Total period of fertility rate","1971","15 - 19 years","Ireland","%",""
"Total period of fertility rate","1971","20 - 24 years","Border","%",""
"Total period of fertility rate","1971","20 - 24 years","Dublin","%",""
"Total period of fertility rate","1971","20 - 24 years","Mid-East","%",""
"Total period of fertility rate","1971","20 - 24 years","Midland","%",""
"Total period of fertility rate","1971","20 - 24 years","Mid-West","%",""
"Total period of fertility rate","1971","20 - 24 years","South-East","%",""
"Total period of fertility rate","1971","20 - 24 years","South-West","%",""
"Total period of fertility rate","1971","20 - 24 years","West","%",""
"Total period of fertility rate","1971","20 - 24 years","Ireland","%",""
"Total period of fertility rate","1971","25 - 29 years","Border","%",""
"Total period of fertility rate","1971","25 - 29 years","Dublin","%",""
"Total period of fertility rate","1971","25 - 29 years","Mid-East","%",""
"Total period of fertility rate","1971","25 - 29 years","Midland","%",""
"Total period of fertility rate","1971","25 - 29 years","Mid-West","%",""
"Total period of fertility rate","1971","25 - 29 years","South-East","%",""
"Total period of fertility rate","1971","25 - 29 years","South-West","%",""
"Total period of fertility rate","1971","25 - 29 years","West","%",""
"Total period of fertility rate","1971","25 - 29 years","Ireland","%",""
"Total period of fertility rate","1971","30 - 34 years","Border","%",""
"Total period of fertility rate","1971","30 - 34 years","Dublin","%",""
"Total period of fertility rate","1971","30 - 34 years","Mid-East","%",""
"Total period of fertility rate","1971","30 - 34 years","Midland","%",""
"Total period of fertility rate","1971","30 - 34 years","Mid-West","%",""
"Total period of fertility rate","1971","30 - 34 years","South-East","%",""
"Total period of fertility rate","1971","30 - 34 years","South-West","%",""
"Total period of fertility rate","1971","30 - 34 years","West","%",""
"Total period of fertility rate","1971","30 - 34 years","Ireland","%",""
"Total period of fertility rate","1971","35 - 39 years","Border","%",""
"Total period of fertility rate","1971","35 - 39 years","Dublin","%",""
"Total period of fertility rate","1971","35 - 39 years","Mid-East","%",""
"Total period of fertility rate","1971","35 - 39 years","Midland","%",""
"Total period of fertility rate","1971","35 - 39 years","Mid-West","%",""
"Total period of fertility rate","1971","35 - 39 years","South-East","%",""
"Total period of fertility rate","1971","35 - 39 years","South-West","%",""
"Total period of fertility rate","1971","35 - 39 years","West","%",""
"Total period of fertility rate","1971","35 - 39 years","Ireland","%",""
"Total period of fertility rate","1971","40 - 44 years","Border","%",""
"Total period of fertility rate","1971","40 - 44 years","Dublin","%",""
"Total period of fertility rate","1971","40 - 44 years","Mid-East","%",""
"Total period of fertility rate","1971","40 - 44 years","Midland","%",""
"Total period of fertility rate","1971","40 - 44 years","Mid-West","%",""
"Total period of fertility rate","1971","40 - 44 years","South-East","%",""
"Total period of fertility rate","1971","40 - 44 years","South-West","%",""
"Total period of fertility rate","1971","40 - 44 years","West","%",""
"Total period of fertility rate","1971","40 - 44 years","Ireland","%",""
"Total period of fertility rate","1971","45 - 49 years","Border","%",""
"Total period of fertility rate","1971","45 - 49 years","Dublin","%",""
"Total period of fertility rate","1971","45 - 49 years","Mid-East","%",""
"Total period of fertility rate","1971","45 - 49 years","Midland","%",""
"Total period of fertility rate","1971","45 - 49 years","Mid-West","%",""
"Total period of fertility rate","1971","45 - 49 years","South-East","%",""
"Total period of fertility rate","1971","45 - 49 years","South-West","%",""
"Total period of fertility rate","1971","45 - 49 years","West","%",""
"Total period of fertility rate","1971","45 - 49 years","Ireland","%",""
"Total period of fertility rate","1972","All ages","Border","%",""
"Total period of fertility rate","1972","All ages","Dublin","%",""
"Total period of fertility rate","1972","All ages","Mid-East","%",""
"Total period of fertility rate","1972","All ages","Midland","%",""
"Total period of fertility rate","1972","All ages","Mid-West","%",""
"Total period of fertility rate","1972","All ages","South-East","%",""
"Total period of fertility rate","1972","All ages","South-West","%",""
"Total period of fertility rate","1972","All ages","West","%",""
"Total period of fertility rate","1972","All ages","Ireland","%","3.88"
"Total period of fertility rate","1972","15 - 19 years","Border","%",""
"Total period of fertility rate","1972","15 - 19 years","Dublin","%",""
"Total period of fertility rate","1972","15 - 19 years","Mid-East","%",""
"Total period of fertility rate","1972","15 - 19 years","Midland","%",""
"Total period of fertility rate","1972","15 - 19 years","Mid-West","%",""
"Total period of fertility rate","1972","15 - 19 years","South-East","%",""
"Total period of fertility rate","1972","15 - 19 years","South-West","%",""
"Total period of fertility rate","1972","15 - 19 years","West","%",""
"Total period of fertility rate","1972","15 - 19 years","Ireland","%",""
"Total period of fertility rate","1972","20 - 24 years","Border","%",""
"Total period of fertility rate","1972","20 - 24 years","Dublin","%",""
"Total period of fertility rate","1972","20 - 24 years","Mid-East","%",""
"Total period of fertility rate","1972","20 - 24 years","Midland","%",""
"Total period of fertility rate","1972","20 - 24 years","Mid-West","%",""
"Total period of fertility rate","1972","20 - 24 years","South-East","%",""
"Total period of fertility rate","1972","20 - 24 years","South-West","%",""
"Total period of fertility rate","1972","20 - 24 years","West","%",""
"Total period of fertility rate","1972","20 - 24 years","Ireland","%",""
"Total period of fertility rate","1972","25 - 29 years","Border","%",""
"Total period of fertility rate","1972","25 - 29 years","Dublin","%",""
"Total period of fertility rate","1972","25 - 29 years","Mid-East","%",""
"Total period of fertility rate","1972","25 - 29 years","Midland","%",""
"Total period of fertility rate","1972","25 - 29 years","Mid-West","%",""
"Total period of fertility rate","1972","25 - 29 years","South-East","%",""
"Total period of fertility rate","1972","25 - 29 years","South-West","%",""
"Total period of fertility rate","1972","25 - 29 years","West","%",""
"Total period of fertility rate","1972","25 - 29 years","Ireland","%",""
"Total period of fertility rate","1972","30 - 34 years","Border","%",""
"Total period of fertility rate","1972","30 - 34 years","Dublin","%",""
"Total period of fertility rate","1972","30 - 34 years","Mid-East","%",""
"Total period of fertility rate","1972","30 - 34 years","Midland","%",""
"Total period of fertility rate","1972","30 - 34 years","Mid-West","%",""
"Total period of fertility rate","1972","30 - 34 years","South-East","%",""
"Total period of fertility rate","1972","30 - 34 years","South-West","%",""
"Total period of fertility rate","1972","30 - 34 years","West","%",""
"Total period of fertility rate","1972","30 - 34 years","Ireland","%",""
"Total period of fertility rate","1972","35 - 39 years","Border","%",""
"Total period of fertility rate","1972","35 - 39 years","Dublin","%",""
"Total period of fertility rate","1972","35 - 39 years","Mid-East","%",""
"Total period of fertility rate","1972","35 - 39 years","Midland","%",""
"Total period of fertility rate","1972","35 - 39 years","Mid-West","%",""
"Total period of fertility rate","1972","35 - 39 years","South-East","%",""
"Total period of fertility rate","1972","35 - 39 years","South-West","%",""
"Total period of fertility rate","1972","35 - 39 years","West","%",""
"Total period of fertility rate","1972","35 - 39 years","Ireland","%",""
"Total period of fertility rate","1972","40 - 44 years","Border","%",""
"Total period of fertility rate","1972","40 - 44 years","Dublin","%",""
"Total period of fertility rate","1972","40 - 44 years","Mid-East","%",""
"Total period of fertility rate","1972","40 - 44 years","Midland","%",""
"Total period of fertility rate","1972","40 - 44 years","Mid-West","%",""
"Total period of fertility rate","1972","40 - 44 years","South-East","%",""
"Total period of fertility rate","1972","40 - 44 years","South-West","%",""
"Total period of fertility rate","1972","40 - 44 years","West","%",""
"Total period of fertility rate","1972","40 - 44 years","Ireland","%",""
"Total period of fertility rate","1972","45 - 49 years","Border","%",""
"Total period of fertility rate","1972","45 - 49 years","Dublin","%",""
"Total period of fertility rate","1972","45 - 49 years","Mid-East","%",""
"Total period of fertility rate","1972","45 - 49 years","Midland","%",""
"Total period of fertility rate","1972","45 - 49 years","Mid-West","%",""
"Total period of fertility rate","1972","45 - 49 years","South-East","%",""
"Total period of fertility rate","1972","45 - 49 years","South-West","%",""
"Total period of fertility rate","1972","45 - 49 years","West","%",""
"Total period of fertility rate","1972","45 - 49 years","Ireland","%",""
"Total period of fertility rate","1973","All ages","Border","%",""
"Total period of fertility rate","1973","All ages","Dublin","%",""
"Total period of fertility rate","1973","All ages","Mid-East","%",""
"Total period of fertility rate","1973","All ages","Midland","%",""
"Total period of fertility rate","1973","All ages","Mid-West","%",""
"Total period of fertility rate","1973","All ages","South-East","%",""
"Total period of fertility rate","1973","All ages","South-West","%",""
"Total period of fertility rate","1973","All ages","West","%",""
"Total period of fertility rate","1973","All ages","Ireland","%","3.74"
"Total period of fertility rate","1973","15 - 19 years","Border","%",""
"Total period of fertility rate","1973","15 - 19 years","Dublin","%",""
"Total period of fertility rate","1973","15 - 19 years","Mid-East","%",""
"Total period of fertility rate","1973","15 - 19 years","Midland","%",""
"Total period of fertility rate","1973","15 - 19 years","Mid-West","%",""
"Total period of fertility rate","1973","15 - 19 years","South-East","%",""
"Total period of fertility rate","1973","15 - 19 years","South-West","%",""
"Total period of fertility rate","1973","15 - 19 years","West","%",""
"Total period of fertility rate","1973","15 - 19 years","Ireland","%",""
"Total period of fertility rate","1973","20 - 24 years","Border","%",""
"Total period of fertility rate","1973","20 - 24 years","Dublin","%",""
"Total period of fertility rate","1973","20 - 24 years","Mid-East","%",""
"Total period of fertility rate","1973","20 - 24 years","Midland","%",""
"Total period of fertility rate","1973","20 - 24 years","Mid-West","%",""
"Total period of fertility rate","1973","20 - 24 years","South-East","%",""
"Total period of fertility rate","1973","20 - 24 years","South-West","%",""
"Total period of fertility rate","1973","20 - 24 years","West","%",""
"Total period of fertility rate","1973","20 - 24 years","Ireland","%",""
"Total period of fertility rate","1973","25 - 29 years","Border","%",""
"Total period of fertility rate","1973","25 - 29 years","Dublin","%",""
"Total period of fertility rate","1973","25 - 29 years","Mid-East","%",""
