"Statistic Label","Month","Industry Sector NACE Rev 2","UNIT","VALUE"
"Domestic Industrial Price Index (Excl VAT)","2021 February","Repair and installation of machinery and equipment (33)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 March","Food products (10)","Base Year 2021=100","99.5259559"
"Domestic Industrial Price Index (Excl VAT)","2021 March","Manufacture of beverages (11)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 March","Tobacco products (12)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 March","Textiles (13)","Base Year 2021=100","98.44185925"
"Domestic Industrial Price Index (Excl VAT)","2021 March","Wearing apparel (14)","Base Year 2021=100","99.77152321"
"Domestic Industrial Price Index (Excl VAT)","2021 March","Leather and related products (15)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 March","Wood and wood products, except furniture (16)","Base Year 2021=100","94.3803978"
"Domestic Industrial Price Index (Excl VAT)","2021 March","Paper and paper products (17)","Base Year 2021=100","98.67935307"
"Domestic Industrial Price Index (Excl VAT)","2021 March","Printing and reproduction of recorded media (18)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 March","Coke and refined petroleum products (19)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 March","Chemicals and chemical products (20)","Base Year 2021=100","97.0245024"
"Domestic Industrial Price Index (Excl VAT)","2021 March","Basic pharmaceutical products and preparations (21)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 March","Rubber and plastic products (22)","Base Year 2021=100","99.16218946"
"Domestic Industrial Price Index (Excl VAT)","2021 March","Other non-metallic mineral products (23)","Base Year 2021=100","97.83076503"
"Domestic Industrial Price Index (Excl VAT)","2021 March","Basic metals (24)","Base Year 2021=100","90.65264322"
"Domestic Industrial Price Index (Excl VAT)","2021 March","Fabricated metal products, except machinery and equipment (25)","Base Year 2021=100","99.1370113"
"Domestic Industrial Price Index (Excl VAT)","2021 March","Computer, electronic and optical products (26)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 March","Electrical equipment (27)","Base Year 2021=100","98.78746555"
"Domestic Industrial Price Index (Excl VAT)","2021 March","Machinery and equipment n.e.c. (28)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 March","Motor vehicles, trailers and semi-trailers (29)","Base Year 2021=100","99.6323566"
"Domestic Industrial Price Index (Excl VAT)","2021 March","Other transport equipment (30)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 March","Furniture (31)","Base Year 2021=100","97.94593311"
"Domestic Industrial Price Index (Excl VAT)","2021 March","Other manufacturing (32)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 March","Mining and quarrying (05 to 09)","Base Year 2021=100","99.55430372"
"Domestic Industrial Price Index (Excl VAT)","2021 March","Repair and installation of machinery and equipment (33)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 April","Food products (10)","Base Year 2021=100","99.36319098"
"Domestic Industrial Price Index (Excl VAT)","2021 April","Manufacture of beverages (11)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 April","Tobacco products (12)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 April","Textiles (13)","Base Year 2021=100","98.44185925"
"Domestic Industrial Price Index (Excl VAT)","2021 April","Wearing apparel (14)","Base Year 2021=100","99.77152321"
"Domestic Industrial Price Index (Excl VAT)","2021 April","Leather and related products (15)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 April","Wood and wood products, except furniture (16)","Base Year 2021=100","97.00833775"
"Domestic Industrial Price Index (Excl VAT)","2021 April","Paper and paper products (17)","Base Year 2021=100","98.73204412"
"Domestic Industrial Price Index (Excl VAT)","2021 April","Printing and reproduction of recorded media (18)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 April","Coke and refined petroleum products (19)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 April","Chemicals and chemical products (20)","Base Year 2021=100","97.0245024"
"Domestic Industrial Price Index (Excl VAT)","2021 April","Basic pharmaceutical products and preparations (21)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 April","Rubber and plastic products (22)","Base Year 2021=100","99.22910686"
"Domestic Industrial Price Index (Excl VAT)","2021 April","Other non-metallic mineral products (23)","Base Year 2021=100","98.38271203"
"Domestic Industrial Price Index (Excl VAT)","2021 April","Basic metals (24)","Base Year 2021=100","92.46898627"
"Domestic Industrial Price Index (Excl VAT)","2021 April","Fabricated metal products, except machinery and equipment (25)","Base Year 2021=100","99.46843009"
"Domestic Industrial Price Index (Excl VAT)","2021 April","Computer, electronic and optical products (26)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 April","Electrical equipment (27)","Base Year 2021=100","98.78746555"
"Domestic Industrial Price Index (Excl VAT)","2021 April","Machinery and equipment n.e.c. (28)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 April","Motor vehicles, trailers and semi-trailers (29)","Base Year 2021=100","99.6323566"
"Domestic Industrial Price Index (Excl VAT)","2021 April","Other transport equipment (30)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 April","Furniture (31)","Base Year 2021=100","97.94602192"
"Domestic Industrial Price Index (Excl VAT)","2021 April","Other manufacturing (32)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 April","Mining and quarrying (05 to 09)","Base Year 2021=100","99.85073292"
"Domestic Industrial Price Index (Excl VAT)","2021 April","Repair and installation of machinery and equipment (33)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 May","Food products (10)","Base Year 2021=100","99.50133426"
"Domestic Industrial Price Index (Excl VAT)","2021 May","Manufacture of beverages (11)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 May","Tobacco products (12)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 May","Textiles (13)","Base Year 2021=100","98.44185925"
"Domestic Industrial Price Index (Excl VAT)","2021 May","Wearing apparel (14)","Base Year 2021=100","100.1616687"
"Domestic Industrial Price Index (Excl VAT)","2021 May","Leather and related products (15)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 May","Wood and wood products, except furniture (16)","Base Year 2021=100","98.69223467"
"Domestic Industrial Price Index (Excl VAT)","2021 May","Paper and paper products (17)","Base Year 2021=100","99.63876642"
"Domestic Industrial Price Index (Excl VAT)","2021 May","Printing and reproduction of recorded media (18)","Base Year 2021=100",""
