"Statistic Label","Month","Industry Sector NACE Rev 2","UNIT","VALUE"
"Domestic Industrial Price Index (Excl VAT)","2023 January","Wearing apparel (14)","Base Year 2021=100","101.8113489"
"Domestic Industrial Price Index (Excl VAT)","2023 January","Leather and related products (15)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 January","Wood and wood products, except furniture (16)","Base Year 2021=100","109.7395088"
"Domestic Industrial Price Index (Excl VAT)","2023 January","Paper and paper products (17)","Base Year 2021=100","107.784242"
"Domestic Industrial Price Index (Excl VAT)","2023 January","Printing and reproduction of recorded media (18)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 January","Coke and refined petroleum products (19)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 January","Chemicals and chemical products (20)","Base Year 2021=100","158.3308567"
"Domestic Industrial Price Index (Excl VAT)","2023 January","Basic pharmaceutical products and preparations (21)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 January","Rubber and plastic products (22)","Base Year 2021=100","102.4214341"
"Domestic Industrial Price Index (Excl VAT)","2023 January","Other non-metallic mineral products (23)","Base Year 2021=100","125.6821102"
"Domestic Industrial Price Index (Excl VAT)","2023 January","Basic metals (24)","Base Year 2021=100","122.7614255"
"Domestic Industrial Price Index (Excl VAT)","2023 January","Fabricated metal products, except machinery and equipment (25)","Base Year 2021=100","123.9236671"
"Domestic Industrial Price Index (Excl VAT)","2023 January","Computer, electronic and optical products (26)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 January","Electrical equipment (27)","Base Year 2021=100","110.824806"
"Domestic Industrial Price Index (Excl VAT)","2023 January","Machinery and equipment n.e.c. (28)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 January","Motor vehicles, trailers and semi-trailers (29)","Base Year 2021=100","110.3202237"
"Domestic Industrial Price Index (Excl VAT)","2023 January","Other transport equipment (30)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 January","Furniture (31)","Base Year 2021=100","110.5573473"
"Domestic Industrial Price Index (Excl VAT)","2023 January","Other manufacturing (32)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 January","Mining and quarrying (05 to 09)","Base Year 2021=100","101.190789"
"Domestic Industrial Price Index (Excl VAT)","2023 January","Repair and installation of machinery and equipment (33)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 February","Food products (10)","Base Year 2021=100","130.8264697"
"Domestic Industrial Price Index (Excl VAT)","2023 February","Manufacture of beverages (11)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 February","Tobacco products (12)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 February","Textiles (13)","Base Year 2021=100","108.2240489"
"Domestic Industrial Price Index (Excl VAT)","2023 February","Wearing apparel (14)","Base Year 2021=100","101.8113489"
"Domestic Industrial Price Index (Excl VAT)","2023 February","Leather and related products (15)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 February","Wood and wood products, except furniture (16)","Base Year 2021=100","106.7984044"
"Domestic Industrial Price Index (Excl VAT)","2023 February","Paper and paper products (17)","Base Year 2021=100","108.0071656"
"Domestic Industrial Price Index (Excl VAT)","2023 February","Printing and reproduction of recorded media (18)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 February","Coke and refined petroleum products (19)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 February","Chemicals and chemical products (20)","Base Year 2021=100","160.2426415"
"Domestic Industrial Price Index (Excl VAT)","2023 February","Basic pharmaceutical products and preparations (21)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 February","Rubber and plastic products (22)","Base Year 2021=100","102.4214377"
"Domestic Industrial Price Index (Excl VAT)","2023 February","Other non-metallic mineral products (23)","Base Year 2021=100","125.763726"
"Domestic Industrial Price Index (Excl VAT)","2023 February","Basic metals (24)","Base Year 2021=100","123.0283235"
"Domestic Industrial Price Index (Excl VAT)","2023 February","Fabricated metal products, except machinery and equipment (25)","Base Year 2021=100","123.9120295"
"Domestic Industrial Price Index (Excl VAT)","2023 February","Computer, electronic and optical products (26)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 February","Electrical equipment (27)","Base Year 2021=100","110.824806"
"Domestic Industrial Price Index (Excl VAT)","2023 February","Machinery and equipment n.e.c. (28)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 February","Motor vehicles, trailers and semi-trailers (29)","Base Year 2021=100","110.3202237"
"Domestic Industrial Price Index (Excl VAT)","2023 February","Other transport equipment (30)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 February","Furniture (31)","Base Year 2021=100","112.6621783"
"Domestic Industrial Price Index (Excl VAT)","2023 February","Other manufacturing (32)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 February","Mining and quarrying (05 to 09)","Base Year 2021=100","101.1967874"
"Domestic Industrial Price Index (Excl VAT)","2023 February","Repair and installation of machinery and equipment (33)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 March","Food products (10)","Base Year 2021=100","130.990996"
"Domestic Industrial Price Index (Excl VAT)","2023 March","Manufacture of beverages (11)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 March","Tobacco products (12)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 March","Textiles (13)","Base Year 2021=100","108.2240489"
"Domestic Industrial Price Index (Excl VAT)","2023 March","Wearing apparel (14)","Base Year 2021=100","101.8113489"
"Domestic Industrial Price Index (Excl VAT)","2023 March","Leather and related products (15)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 March","Wood and wood products, except furniture (16)","Base Year 2021=100","106.4902209"
"Domestic Industrial Price Index (Excl VAT)","2023 March","Paper and paper products (17)","Base Year 2021=100","107.0475376"
"Domestic Industrial Price Index (Excl VAT)","2023 March","Printing and reproduction of recorded media (18)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 March","Coke and refined petroleum products (19)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 March","Chemicals and chemical products (20)","Base Year 2021=100","142.5595896"
"Domestic Industrial Price Index (Excl VAT)","2023 March","Basic pharmaceutical products and preparations (21)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 March","Rubber and plastic products (22)","Base Year 2021=100","102.0848083"
"Domestic Industrial Price Index (Excl VAT)","2023 March","Other non-metallic mineral products (23)","Base Year 2021=100","125.6952712"
"Domestic Industrial Price Index (Excl VAT)","2023 March","Basic metals (24)","Base Year 2021=100","122.6653213"
"Domestic Industrial Price Index (Excl VAT)","2023 March","Fabricated metal products, except machinery and equipment (25)","Base Year 2021=100","123.9591159"
"Domestic Industrial Price Index (Excl VAT)","2023 March","Computer, electronic and optical products (26)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 March","Electrical equipment (27)","Base Year 2021=100","110.824806"
"Domestic Industrial Price Index (Excl VAT)","2023 March","Machinery and equipment n.e.c. (28)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 March","Motor vehicles, trailers and semi-trailers (29)","Base Year 2021=100","110.3202237"
"Domestic Industrial Price Index (Excl VAT)","2023 March","Other transport equipment (30)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 March","Furniture (31)","Base Year 2021=100","112.6622568"
"Domestic Industrial Price Index (Excl VAT)","2023 March","Other manufacturing (32)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 March","Mining and quarrying (05 to 09)","Base Year 2021=100","101.199362"
"Domestic Industrial Price Index (Excl VAT)","2023 March","Repair and installation of machinery and equipment (33)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 April","Food products (10)","Base Year 2021=100","131.2516269"
"Domestic Industrial Price Index (Excl VAT)","2023 April","Manufacture of beverages (11)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 April","Tobacco products (12)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 April","Textiles (13)","Base Year 2021=100","108.3077351"
"Domestic Industrial Price Index (Excl VAT)","2023 April","Wearing apparel (14)","Base Year 2021=100","101.8113489"
"Domestic Industrial Price Index (Excl VAT)","2023 April","Leather and related products (15)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 April","Wood and wood products, except furniture (16)","Base Year 2021=100","106.3208344"
"Domestic Industrial Price Index (Excl VAT)","2023 April","Paper and paper products (17)","Base Year 2021=100","107.2788721"
"Domestic Industrial Price Index (Excl VAT)","2023 April","Printing and reproduction of recorded media (18)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 April","Coke and refined petroleum products (19)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 April","Chemicals and chemical products (20)","Base Year 2021=100","142.5596542"
"Domestic Industrial Price Index (Excl VAT)","2023 April","Basic pharmaceutical products and preparations (21)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 April","Rubber and plastic products (22)","Base Year 2021=100","102.0848658"
"Domestic Industrial Price Index (Excl VAT)","2023 April","Other non-metallic mineral products (23)","Base Year 2021=100","127.29854"
"Domestic Industrial Price Index (Excl VAT)","2023 April","Basic metals (24)","Base Year 2021=100","121.2497717"
"Domestic Industrial Price Index (Excl VAT)","2023 April","Fabricated metal products, except machinery and equipment (25)","Base Year 2021=100","124.2409373"
"Domestic Industrial Price Index (Excl VAT)","2023 April","Computer, electronic and optical products (26)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 April","Electrical equipment (27)","Base Year 2021=100","110.824806"
"Domestic Industrial Price Index (Excl VAT)","2023 April","Machinery and equipment n.e.c. (28)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 April","Motor vehicles, trailers and semi-trailers (29)","Base Year 2021=100","110.3202237"
"Domestic Industrial Price Index (Excl VAT)","2023 April","Other transport equipment (30)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 April","Furniture (31)","Base Year 2021=100","112.6622568"
"Domestic Industrial Price Index (Excl VAT)","2023 April","Other manufacturing (32)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 April","Mining and quarrying (05 to 09)","Base Year 2021=100","101.1999322"
"Domestic Industrial Price Index (Excl VAT)","2023 April","Repair and installation of machinery and equipment (33)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 May","Food products (10)","Base Year 2021=100","130.8481255"
"Domestic Industrial Price Index (Excl VAT)","2023 May","Manufacture of beverages (11)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 May","Tobacco products (12)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 May","Textiles (13)","Base Year 2021=100","108.3077351"
"Domestic Industrial Price Index (Excl VAT)","2023 May","Wearing apparel (14)","Base Year 2021=100","101.8113489"
"Domestic Industrial Price Index (Excl VAT)","2023 May","Leather and related products (15)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 May","Wood and wood products, except furniture (16)","Base Year 2021=100","106.7627465"
"Domestic Industrial Price Index (Excl VAT)","2023 May","Paper and paper products (17)","Base Year 2021=100","107.0695555"
"Domestic Industrial Price Index (Excl VAT)","2023 May","Printing and reproduction of recorded media (18)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 May","Coke and refined petroleum products (19)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 May","Chemicals and chemical products (20)","Base Year 2021=100","142.5567211"
"Domestic Industrial Price Index (Excl VAT)","2023 May","Basic pharmaceutical products and preparations (21)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 May","Rubber and plastic products (22)","Base Year 2021=100","101.2336934"
"Domestic Industrial Price Index (Excl VAT)","2023 May","Other non-metallic mineral products (23)","Base Year 2021=100","127.6696955"
"Domestic Industrial Price Index (Excl VAT)","2023 May","Basic metals (24)","Base Year 2021=100","117.735439"
"Domestic Industrial Price Index (Excl VAT)","2023 May","Fabricated metal products, except machinery and equipment (25)","Base Year 2021=100","124.2452628"
"Domestic Industrial Price Index (Excl VAT)","2023 May","Computer, electronic and optical products (26)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 May","Electrical equipment (27)","Base Year 2021=100","110.824806"
"Domestic Industrial Price Index (Excl VAT)","2023 May","Machinery and equipment n.e.c. (28)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 May","Motor vehicles, trailers and semi-trailers (29)","Base Year 2021=100","110.3202237"
"Domestic Industrial Price Index (Excl VAT)","2023 May","Other transport equipment (30)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 May","Furniture (31)","Base Year 2021=100","112.6622568"
"Domestic Industrial Price Index (Excl VAT)","2023 May","Other manufacturing (32)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 May","Mining and quarrying (05 to 09)","Base Year 2021=100","101.3016137"
"Domestic Industrial Price Index (Excl VAT)","2023 May","Repair and installation of machinery and equipment (33)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 June","Food products (10)","Base Year 2021=100","130.6629001"
"Domestic Industrial Price Index (Excl VAT)","2023 June","Manufacture of beverages (11)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 June","Tobacco products (12)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 June","Textiles (13)","Base Year 2021=100","108.3077351"
"Domestic Industrial Price Index (Excl VAT)","2023 June","Wearing apparel (14)","Base Year 2021=100","101.8113489"
"Domestic Industrial Price Index (Excl VAT)","2023 June","Leather and related products (15)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 June","Wood and wood products, except furniture (16)","Base Year 2021=100","106.4697643"
"Domestic Industrial Price Index (Excl VAT)","2023 June","Paper and paper products (17)","Base Year 2021=100","106.7297218"
"Domestic Industrial Price Index (Excl VAT)","2023 June","Printing and reproduction of recorded media (18)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 June","Coke and refined petroleum products (19)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 June","Chemicals and chemical products (20)","Base Year 2021=100","140.633566"
"Domestic Industrial Price Index (Excl VAT)","2023 June","Basic pharmaceutical products and preparations (21)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 June","Rubber and plastic products (22)","Base Year 2021=100","101.3049632"
"Domestic Industrial Price Index (Excl VAT)","2023 June","Other non-metallic mineral products (23)","Base Year 2021=100","128.37879"
"Domestic Industrial Price Index (Excl VAT)","2023 June","Basic metals (24)","Base Year 2021=100","117.8443909"
"Domestic Industrial Price Index (Excl VAT)","2023 June","Fabricated metal products, except machinery and equipment (25)","Base Year 2021=100","123.1421788"
"Domestic Industrial Price Index (Excl VAT)","2023 June","Computer, electronic and optical products (26)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 June","Electrical equipment (27)","Base Year 2021=100","110.824806"
"Domestic Industrial Price Index (Excl VAT)","2023 June","Machinery and equipment n.e.c. (28)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 June","Motor vehicles, trailers and semi-trailers (29)","Base Year 2021=100","110.3202237"
"Domestic Industrial Price Index (Excl VAT)","2023 June","Other transport equipment (30)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 June","Furniture (31)","Base Year 2021=100","112.6618407"
"Domestic Industrial Price Index (Excl VAT)","2023 June","Other manufacturing (32)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 June","Mining and quarrying (05 to 09)","Base Year 2021=100","101.3040385"
"Domestic Industrial Price Index (Excl VAT)","2023 June","Repair and installation of machinery and equipment (33)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 July","Food products (10)","Base Year 2021=100","130.5008926"
"Domestic Industrial Price Index (Excl VAT)","2023 July","Manufacture of beverages (11)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 July","Tobacco products (12)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 July","Textiles (13)","Base Year 2021=100","108.3077351"
"Domestic Industrial Price Index (Excl VAT)","2023 July","Wearing apparel (14)","Base Year 2021=100","101.8113489"
"Domestic Industrial Price Index (Excl VAT)","2023 July","Leather and related products (15)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 July","Wood and wood products, except furniture (16)","Base Year 2021=100","106.4655316"
"Domestic Industrial Price Index (Excl VAT)","2023 July","Paper and paper products (17)","Base Year 2021=100","105.0975912"
"Domestic Industrial Price Index (Excl VAT)","2023 July","Printing and reproduction of recorded media (18)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 July","Coke and refined petroleum products (19)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 July","Chemicals and chemical products (20)","Base Year 2021=100","110.0577598"
"Domestic Industrial Price Index (Excl VAT)","2023 July","Basic pharmaceutical products and preparations (21)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 July","Rubber and plastic products (22)","Base Year 2021=100","101.4068526"
"Domestic Industrial Price Index (Excl VAT)","2023 July","Other non-metallic mineral products (23)","Base Year 2021=100","128.8476888"
"Domestic Industrial Price Index (Excl VAT)","2023 July","Basic metals (24)","Base Year 2021=100","117.959065"
"Domestic Industrial Price Index (Excl VAT)","2023 July","Fabricated metal products, except machinery and equipment (25)","Base Year 2021=100","123.3033493"
"Domestic Industrial Price Index (Excl VAT)","2023 July","Computer, electronic and optical products (26)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 July","Electrical equipment (27)","Base Year 2021=100","111.3482935"
"Domestic Industrial Price Index (Excl VAT)","2023 July","Machinery and equipment n.e.c. (28)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 July","Motor vehicles, trailers and semi-trailers (29)","Base Year 2021=100","110.3202237"
"Domestic Industrial Price Index (Excl VAT)","2023 July","Other transport equipment (30)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 July","Furniture (31)","Base Year 2021=100","115.356589"
"Domestic Industrial Price Index (Excl VAT)","2023 July","Other manufacturing (32)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 July","Mining and quarrying (05 to 09)","Base Year 2021=100","101.3046876"
"Domestic Industrial Price Index (Excl VAT)","2023 July","Repair and installation of machinery and equipment (33)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 August","Food products (10)","Base Year 2021=100","131.2066242"
"Domestic Industrial Price Index (Excl VAT)","2023 August","Manufacture of beverages (11)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 August","Tobacco products (12)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 August","Textiles (13)","Base Year 2021=100","108.3077351"
"Domestic Industrial Price Index (Excl VAT)","2023 August","Wearing apparel (14)","Base Year 2021=100","101.8113489"
"Domestic Industrial Price Index (Excl VAT)","2023 August","Leather and related products (15)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 August","Wood and wood products, except furniture (16)","Base Year 2021=100","107.0934163"
"Domestic Industrial Price Index (Excl VAT)","2023 August","Paper and paper products (17)","Base Year 2021=100","105.0975789"
"Domestic Industrial Price Index (Excl VAT)","2023 August","Printing and reproduction of recorded media (18)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 August","Coke and refined petroleum products (19)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 August","Chemicals and chemical products (20)","Base Year 2021=100","110.032432"
"Domestic Industrial Price Index (Excl VAT)","2023 August","Basic pharmaceutical products and preparations (21)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 August","Rubber and plastic products (22)","Base Year 2021=100","101.4068548"
"Domestic Industrial Price Index (Excl VAT)","2023 August","Other non-metallic mineral products (23)","Base Year 2021=100","129.0092057"
"Domestic Industrial Price Index (Excl VAT)","2023 August","Basic metals (24)","Base Year 2021=100","118.0672518"
"Domestic Industrial Price Index (Excl VAT)","2023 August","Fabricated metal products, except machinery and equipment (25)","Base Year 2021=100","123.3200647"
"Domestic Industrial Price Index (Excl VAT)","2023 August","Computer, electronic and optical products (26)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 August","Electrical equipment (27)","Base Year 2021=100","111.3482935"
"Domestic Industrial Price Index (Excl VAT)","2023 August","Machinery and equipment n.e.c. (28)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 August","Motor vehicles, trailers and semi-trailers (29)","Base Year 2021=100","111.7025475"
"Domestic Industrial Price Index (Excl VAT)","2023 August","Other transport equipment (30)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 August","Furniture (31)","Base Year 2021=100","115.356589"
"Domestic Industrial Price Index (Excl VAT)","2023 August","Other manufacturing (32)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 August","Mining and quarrying (05 to 09)","Base Year 2021=100","101.3046876"
"Domestic Industrial Price Index (Excl VAT)","2023 August","Repair and installation of machinery and equipment (33)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 September","Food products (10)","Base Year 2021=100","131.1635701"
"Domestic Industrial Price Index (Excl VAT)","2023 September","Manufacture of beverages (11)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 September","Tobacco products (12)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 September","Textiles (13)","Base Year 2021=100","108.3077351"
"Domestic Industrial Price Index (Excl VAT)","2023 September","Wearing apparel (14)","Base Year 2021=100","101.8113489"
"Domestic Industrial Price Index (Excl VAT)","2023 September","Leather and related products (15)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 September","Wood and wood products, except furniture (16)","Base Year 2021=100","106.7312971"
"Domestic Industrial Price Index (Excl VAT)","2023 September","Paper and paper products (17)","Base Year 2021=100","105.3266305"
"Domestic Industrial Price Index (Excl VAT)","2023 September","Printing and reproduction of recorded media (18)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 September","Coke and refined petroleum products (19)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 September","Chemicals and chemical products (20)","Base Year 2021=100","110.031825"
"Domestic Industrial Price Index (Excl VAT)","2023 September","Basic pharmaceutical products and preparations (21)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 September","Rubber and plastic products (22)","Base Year 2021=100","101.3356902"
"Domestic Industrial Price Index (Excl VAT)","2023 September","Other non-metallic mineral products (23)","Base Year 2021=100","128.9205716"
"Domestic Industrial Price Index (Excl VAT)","2023 September","Basic metals (24)","Base Year 2021=100","117.6576161"
"Domestic Industrial Price Index (Excl VAT)","2023 September","Fabricated metal products, except machinery and equipment (25)","Base Year 2021=100","125.4670905"
"Domestic Industrial Price Index (Excl VAT)","2023 September","Computer, electronic and optical products (26)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 September","Electrical equipment (27)","Base Year 2021=100","111.3482935"
"Domestic Industrial Price Index (Excl VAT)","2023 September","Machinery and equipment n.e.c. (28)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 September","Motor vehicles, trailers and semi-trailers (29)","Base Year 2021=100","111.5941593"
"Domestic Industrial Price Index (Excl VAT)","2023 September","Other transport equipment (30)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 September","Furniture (31)","Base Year 2021=100","115.356589"
"Domestic Industrial Price Index (Excl VAT)","2023 September","Other manufacturing (32)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 September","Mining and quarrying (05 to 09)","Base Year 2021=100","101.3047438"
"Domestic Industrial Price Index (Excl VAT)","2023 September","Repair and installation of machinery and equipment (33)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 October","Food products (10)","Base Year 2021=100","131.4024607"
"Domestic Industrial Price Index (Excl VAT)","2023 October","Manufacture of beverages (11)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 October","Tobacco products (12)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 October","Textiles (13)","Base Year 2021=100","108.2859793"
"Domestic Industrial Price Index (Excl VAT)","2023 October","Wearing apparel (14)","Base Year 2021=100","101.8113489"
"Domestic Industrial Price Index (Excl VAT)","2023 October","Leather and related products (15)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 October","Wood and wood products, except furniture (16)","Base Year 2021=100","106.4917643"
"Domestic Industrial Price Index (Excl VAT)","2023 October","Paper and paper products (17)","Base Year 2021=100","105.3266305"
"Domestic Industrial Price Index (Excl VAT)","2023 October","Printing and reproduction of recorded media (18)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 October","Coke and refined petroleum products (19)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 October","Chemicals and chemical products (20)","Base Year 2021=100","109.9926263"
"Domestic Industrial Price Index (Excl VAT)","2023 October","Basic pharmaceutical products and preparations (21)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 October","Rubber and plastic products (22)","Base Year 2021=100","101.335701"
"Domestic Industrial Price Index (Excl VAT)","2023 October","Other non-metallic mineral products (23)","Base Year 2021=100","128.7759563"
"Domestic Industrial Price Index (Excl VAT)","2023 October","Basic metals (24)","Base Year 2021=100","116.2157637"
"Domestic Industrial Price Index (Excl VAT)","2023 October","Fabricated metal products, except machinery and equipment (25)","Base Year 2021=100","124.6370619"
"Domestic Industrial Price Index (Excl VAT)","2023 October","Computer, electronic and optical products (26)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 October","Electrical equipment (27)","Base Year 2021=100","111.3482935"
"Domestic Industrial Price Index (Excl VAT)","2023 October","Machinery and equipment n.e.c. (28)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 October","Motor vehicles, trailers and semi-trailers (29)","Base Year 2021=100","111.7717453"
"Domestic Industrial Price Index (Excl VAT)","2023 October","Other transport equipment (30)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 October","Furniture (31)","Base Year 2021=100","115.3566987"
"Domestic Industrial Price Index (Excl VAT)","2023 October","Other manufacturing (32)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 October","Mining and quarrying (05 to 09)","Base Year 2021=100","101.3048762"
"Domestic Industrial Price Index (Excl VAT)","2023 October","Repair and installation of machinery and equipment (33)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 November","Food products (10)","Base Year 2021=100","131.3212913"
"Domestic Industrial Price Index (Excl VAT)","2023 November","Manufacture of beverages (11)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 November","Tobacco products (12)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2023 November","Textiles (13)","Base Year 2021=100","108.2859793"
"Domestic Industrial Price Index (Excl VAT)","2023 November","Wearing apparel (14)","Base Year 2021=100","101.8113489"
"Domestic Industrial Price Index (Excl VAT)","2023 November","Leather and related products (15)","Base Year 2021=100",""
