"Statistic Label","Year","Sector of Activity","Size of Enterprise","UNIT","VALUE"
"Value of Imports","2022","Chemicals and Pharmaceuticals (20-21)","Micro (0 to 9)","Euro Million","1322"
"Value of Imports","2022","Chemicals and Pharmaceuticals (20-21)","Small (10 to 49)","Euro Million","696"
"Value of Imports","2022","Chemicals and Pharmaceuticals (20-21)","Medium (50 to 249)","Euro Million","1346"
"Value of Imports","2022","Chemicals and Pharmaceuticals (20-21)","Large (250 or more)","Euro Million","23931"
"Value of Imports","2022","Chemicals and Pharmaceuticals (20-21)","Unknown","Euro Million",""
"Value of Imports","2022","Chemicals and Pharmaceuticals (20-21)","All Enterprises","Euro Million","27295"
"Value of Imports","2022","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Micro (0 to 9)","Euro Million","3161"
"Value of Imports","2022","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Small (10 to 49)","Euro Million","2435"
"Value of Imports","2022","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Medium (50 to 249)","Euro Million","6455"
"Value of Imports","2022","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Large (250 or more)","Euro Million","20364"
"Value of Imports","2022","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Unknown","Euro Million",""
"Value of Imports","2022","Other Manufacturing and Construction (05-09, 12-19, 22-43)","All Enterprises","Euro Million","32414"
"Value of Imports","2022","Wholesale and Retail (45-47)","Micro (0 to 9)","Euro Million","11070"
"Value of Imports","2022","Wholesale and Retail (45-47)","Small (10 to 49)","Euro Million","12439"
"Value of Imports","2022","Wholesale and Retail (45-47)","Medium (50 to 249)","Euro Million","11304"
"Value of Imports","2022","Wholesale and Retail (45-47)","Large (250 or more)","Euro Million","8460"
"Value of Imports","2022","Wholesale and Retail (45-47)","Unknown","Euro Million",""
"Value of Imports","2022","Wholesale and Retail (45-47)","All Enterprises","Euro Million","43272"
"Value of Imports","2022","Services/other (49-98)","Micro (0 to 9)","Euro Million","6130"
"Value of Imports","2022","Services/other (49-98)","Small (10 to 49)","Euro Million","4336"
"Value of Imports","2022","Services/other (49-98)","Medium (50 to 249)","Euro Million","8884"
"Value of Imports","2022","Services/other (49-98)","Large (250 or more)","Euro Million","7220"
"Value of Imports","2022","Services/other (49-98)","Unknown","Euro Million",""
"Value of Imports","2022","Services/other (49-98)","All Enterprises","Euro Million","26570"
"Value of Imports","2022","Unknown","Micro (0 to 9)","Euro Million",""
"Value of Imports","2022","Unknown","Small (10 to 49)","Euro Million",""
"Value of Imports","2022","Unknown","Medium (50 to 249)","Euro Million",""
"Value of Imports","2022","Unknown","Large (250 or more)","Euro Million",""
"Value of Imports","2022","Unknown","Unknown","Euro Million","5300"
"Value of Imports","2022","Unknown","All Enterprises","Euro Million","5300"
"Value of Imports","2022","All sectors","Micro (0 to 9)","Euro Million","22828"
"Value of Imports","2022","All sectors","Small (10 to 49)","Euro Million","20290"
"Value of Imports","2022","All sectors","Medium (50 to 249)","Euro Million","29007"
"Value of Imports","2022","All sectors","Large (250 or more)","Euro Million","62758"
"Value of Imports","2022","All sectors","Unknown","Euro Million","5300"
"Value of Imports","2022","All sectors","All Enterprises","Euro Million","140183"
"Number of Importing Enterprises","2017","Agriculture and Food (01-03,10-11)","Micro (0 to 9)","Number","1194"
"Number of Importing Enterprises","2017","Agriculture and Food (01-03,10-11)","Small (10 to 49)","Number","305"
"Number of Importing Enterprises","2017","Agriculture and Food (01-03,10-11)","Medium (50 to 249)","Number","139"
"Number of Importing Enterprises","2017","Agriculture and Food (01-03,10-11)","Large (250 or more)","Number","43"
"Number of Importing Enterprises","2017","Agriculture and Food (01-03,10-11)","Unknown","Number",""
"Number of Importing Enterprises","2017","Agriculture and Food (01-03,10-11)","All Enterprises","Number","1681"
"Number of Importing Enterprises","2017","Chemicals and Pharmaceuticals (20-21)","Micro (0 to 9)","Number","95"
"Number of Importing Enterprises","2017","Chemicals and Pharmaceuticals (20-21)","Small (10 to 49)","Number","58"
"Number of Importing Enterprises","2017","Chemicals and Pharmaceuticals (20-21)","Medium (50 to 249)","Number","48"
"Number of Importing Enterprises","2017","Chemicals and Pharmaceuticals (20-21)","Large (250 or more)","Number","35"
"Number of Importing Enterprises","2017","Chemicals and Pharmaceuticals (20-21)","Unknown","Number",""
"Number of Importing Enterprises","2017","Chemicals and Pharmaceuticals (20-21)","All Enterprises","Number","236"
"Number of Importing Enterprises","2017","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Micro (0 to 9)","Number","4687"
"Number of Importing Enterprises","2017","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Small (10 to 49)","Number","1711"
"Number of Importing Enterprises","2017","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Medium (50 to 249)","Number","458"
"Number of Importing Enterprises","2017","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Large (250 or more)","Number","96"
"Number of Importing Enterprises","2017","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Unknown","Number",""
"Number of Importing Enterprises","2017","Other Manufacturing and Construction (05-09, 12-19, 22-43)","All Enterprises","Number","6952"
"Number of Importing Enterprises","2017","Wholesale and Retail (45-47)","Micro (0 to 9)","Number","11278"
"Number of Importing Enterprises","2017","Wholesale and Retail (45-47)","Small (10 to 49)","Number","3124"
"Number of Importing Enterprises","2017","Wholesale and Retail (45-47)","Medium (50 to 249)","Number","516"
"Number of Importing Enterprises","2017","Wholesale and Retail (45-47)","Large (250 or more)","Number","86"
"Number of Importing Enterprises","2017","Wholesale and Retail (45-47)","Unknown","Number",""
"Number of Importing Enterprises","2017","Wholesale and Retail (45-47)","All Enterprises","Number","15004"
"Number of Importing Enterprises","2017","Services/other (49-98)","Micro (0 to 9)","Number","4846"
"Number of Importing Enterprises","2017","Services/other (49-98)","Small (10 to 49)","Number","1830"
"Number of Importing Enterprises","2017","Services/other (49-98)","Medium (50 to 249)","Number","665"
"Number of Importing Enterprises","2017","Services/other (49-98)","Large (250 or more)","Number","278"
"Number of Importing Enterprises","2017","Services/other (49-98)","Unknown","Number",""
"Number of Importing Enterprises","2017","Services/other (49-98)","All Enterprises","Number","7619"
"Number of Importing Enterprises","2017","Unknown","Micro (0 to 9)","Number",""
"Number of Importing Enterprises","2017","Unknown","Small (10 to 49)","Number",""
"Number of Importing Enterprises","2017","Unknown","Medium (50 to 249)","Number",""
"Number of Importing Enterprises","2017","Unknown","Large (250 or more)","Number",""
"Number of Importing Enterprises","2017","Unknown","Unknown","Number","72"
"Number of Importing Enterprises","2017","Unknown","All Enterprises","Number","72"
"Number of Importing Enterprises","2017","All sectors","Micro (0 to 9)","Number","22100"
"Number of Importing Enterprises","2017","All sectors","Small (10 to 49)","Number","7028"
"Number of Importing Enterprises","2017","All sectors","Medium (50 to 249)","Number","1826"
"Number of Importing Enterprises","2017","All sectors","Large (250 or more)","Number","538"
"Number of Importing Enterprises","2017","All sectors","Unknown","Number","72"
"Number of Importing Enterprises","2017","All sectors","All Enterprises","Number","31564"
"Number of Importing Enterprises","2018","Agriculture and Food (01-03,10-11)","Micro (0 to 9)","Number","1268"
"Number of Importing Enterprises","2018","Agriculture and Food (01-03,10-11)","Small (10 to 49)","Number","310"
"Number of Importing Enterprises","2018","Agriculture and Food (01-03,10-11)","Medium (50 to 249)","Number","136"
"Number of Importing Enterprises","2018","Agriculture and Food (01-03,10-11)","Large (250 or more)","Number","47"
"Number of Importing Enterprises","2018","Agriculture and Food (01-03,10-11)","Unknown","Number",""
"Number of Importing Enterprises","2018","Agriculture and Food (01-03,10-11)","All Enterprises","Number","1761"
"Number of Importing Enterprises","2018","Chemicals and Pharmaceuticals (20-21)","Micro (0 to 9)","Number","101"
"Number of Importing Enterprises","2018","Chemicals and Pharmaceuticals (20-21)","Small (10 to 49)","Number","51"
"Number of Importing Enterprises","2018","Chemicals and Pharmaceuticals (20-21)","Medium (50 to 249)","Number","51"
"Number of Importing Enterprises","2018","Chemicals and Pharmaceuticals (20-21)","Large (250 or more)","Number","34"
"Number of Importing Enterprises","2018","Chemicals and Pharmaceuticals (20-21)","Unknown","Number",""
"Number of Importing Enterprises","2018","Chemicals and Pharmaceuticals (20-21)","All Enterprises","Number","237"
"Number of Importing Enterprises","2018","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Micro (0 to 9)","Number","4856"
"Number of Importing Enterprises","2018","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Small (10 to 49)","Number","1724"
"Number of Importing Enterprises","2018","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Medium (50 to 249)","Number","489"
"Number of Importing Enterprises","2018","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Large (250 or more)","Number","99"
"Number of Importing Enterprises","2018","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Unknown","Number",""
"Number of Importing Enterprises","2018","Other Manufacturing and Construction (05-09, 12-19, 22-43)","All Enterprises","Number","7168"
"Number of Importing Enterprises","2018","Wholesale and Retail (45-47)","Micro (0 to 9)","Number","10996"
"Number of Importing Enterprises","2018","Wholesale and Retail (45-47)","Small (10 to 49)","Number","3142"
"Number of Importing Enterprises","2018","Wholesale and Retail (45-47)","Medium (50 to 249)","Number","514"
"Number of Importing Enterprises","2018","Wholesale and Retail (45-47)","Large (250 or more)","Number","94"
"Number of Importing Enterprises","2018","Wholesale and Retail (45-47)","Unknown","Number",""
"Number of Importing Enterprises","2018","Wholesale and Retail (45-47)","All Enterprises","Number","14746"
"Number of Importing Enterprises","2018","Services/other (49-98)","Micro (0 to 9)","Number","4881"
"Number of Importing Enterprises","2018","Services/other (49-98)","Small (10 to 49)","Number","1841"
"Number of Importing Enterprises","2018","Services/other (49-98)","Medium (50 to 249)","Number","683"
"Number of Importing Enterprises","2018","Services/other (49-98)","Large (250 or more)","Number","320"
"Number of Importing Enterprises","2018","Services/other (49-98)","Unknown","Number",""
"Number of Importing Enterprises","2018","Services/other (49-98)","All Enterprises","Number","7725"
"Number of Importing Enterprises","2018","Unknown","Micro (0 to 9)","Number",""
"Number of Importing Enterprises","2018","Unknown","Small (10 to 49)","Number",""
"Number of Importing Enterprises","2018","Unknown","Medium (50 to 249)","Number",""
"Number of Importing Enterprises","2018","Unknown","Large (250 or more)","Number",""
"Number of Importing Enterprises","2018","Unknown","Unknown","Number","82"
"Number of Importing Enterprises","2018","Unknown","All Enterprises","Number","82"
"Number of Importing Enterprises","2018","All sectors","Micro (0 to 9)","Number","22102"
"Number of Importing Enterprises","2018","All sectors","Small (10 to 49)","Number","7068"
"Number of Importing Enterprises","2018","All sectors","Medium (50 to 249)","Number","1873"
"Number of Importing Enterprises","2018","All sectors","Large (250 or more)","Number","594"
"Number of Importing Enterprises","2018","All sectors","Unknown","Number","82"
"Number of Importing Enterprises","2018","All sectors","All Enterprises","Number","31719"
"Number of Importing Enterprises","2019","Agriculture and Food (01-03,10-11)","Micro (0 to 9)","Number","2017"
"Number of Importing Enterprises","2019","Agriculture and Food (01-03,10-11)","Small (10 to 49)","Number","324"
"Number of Importing Enterprises","2019","Agriculture and Food (01-03,10-11)","Medium (50 to 249)","Number","136"
"Number of Importing Enterprises","2019","Agriculture and Food (01-03,10-11)","Large (250 or more)","Number","52"
"Number of Importing Enterprises","2019","Agriculture and Food (01-03,10-11)","Unknown","Number",""
"Number of Importing Enterprises","2019","Agriculture and Food (01-03,10-11)","All Enterprises","Number","2529"
"Number of Importing Enterprises","2019","Chemicals and Pharmaceuticals (20-21)","Micro (0 to 9)","Number","130"
"Number of Importing Enterprises","2019","Chemicals and Pharmaceuticals (20-21)","Small (10 to 49)","Number","52"
"Number of Importing Enterprises","2019","Chemicals and Pharmaceuticals (20-21)","Medium (50 to 249)","Number","49"
"Number of Importing Enterprises","2019","Chemicals and Pharmaceuticals (20-21)","Large (250 or more)","Number","35"
"Number of Importing Enterprises","2019","Chemicals and Pharmaceuticals (20-21)","Unknown","Number",""
"Number of Importing Enterprises","2019","Chemicals and Pharmaceuticals (20-21)","All Enterprises","Number","266"
"Number of Importing Enterprises","2019","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Micro (0 to 9)","Number","7518"
"Number of Importing Enterprises","2019","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Small (10 to 49)","Number","1839"
"Number of Importing Enterprises","2019","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Medium (50 to 249)","Number","492"
"Number of Importing Enterprises","2019","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Large (250 or more)","Number","101"
"Number of Importing Enterprises","2019","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Unknown","Number",""
"Number of Importing Enterprises","2019","Other Manufacturing and Construction (05-09, 12-19, 22-43)","All Enterprises","Number","9950"
"Number of Importing Enterprises","2019","Wholesale and Retail (45-47)","Micro (0 to 9)","Number","12435"
"Number of Importing Enterprises","2019","Wholesale and Retail (45-47)","Small (10 to 49)","Number","3197"
"Number of Importing Enterprises","2019","Wholesale and Retail (45-47)","Medium (50 to 249)","Number","528"
"Number of Importing Enterprises","2019","Wholesale and Retail (45-47)","Large (250 or more)","Number","93"
"Number of Importing Enterprises","2019","Wholesale and Retail (45-47)","Unknown","Number",""
"Number of Importing Enterprises","2019","Wholesale and Retail (45-47)","All Enterprises","Number","16253"
"Number of Importing Enterprises","2019","Services/other (49-98)","Micro (0 to 9)","Number","8516"
"Number of Importing Enterprises","2019","Services/other (49-98)","Small (10 to 49)","Number","2391"
"Number of Importing Enterprises","2019","Services/other (49-98)","Medium (50 to 249)","Number","787"
"Number of Importing Enterprises","2019","Services/other (49-98)","Large (250 or more)","Number","344"
"Number of Importing Enterprises","2019","Services/other (49-98)","Unknown","Number",""
"Number of Importing Enterprises","2019","Services/other (49-98)","All Enterprises","Number","12038"
"Number of Importing Enterprises","2019","Unknown","Micro (0 to 9)","Number",""
"Number of Importing Enterprises","2019","Unknown","Small (10 to 49)","Number",""
"Number of Importing Enterprises","2019","Unknown","Medium (50 to 249)","Number",""
"Number of Importing Enterprises","2019","Unknown","Large (250 or more)","Number",""
"Number of Importing Enterprises","2019","Unknown","Unknown","Number","191"
"Number of Importing Enterprises","2019","Unknown","All Enterprises","Number","191"
"Number of Importing Enterprises","2019","All sectors","Micro (0 to 9)","Number","30616"
"Number of Importing Enterprises","2019","All sectors","Small (10 to 49)","Number","7803"
"Number of Importing Enterprises","2019","All sectors","Medium (50 to 249)","Number","1992"
"Number of Importing Enterprises","2019","All sectors","Large (250 or more)","Number","625"
"Number of Importing Enterprises","2019","All sectors","Unknown","Number","191"
"Number of Importing Enterprises","2019","All sectors","All Enterprises","Number","41227"
"Number of Importing Enterprises","2020","Agriculture and Food (01-03,10-11)","Micro (0 to 9)","Number","2083"
"Number of Importing Enterprises","2020","Agriculture and Food (01-03,10-11)","Small (10 to 49)","Number","319"
"Number of Importing Enterprises","2020","Agriculture and Food (01-03,10-11)","Medium (50 to 249)","Number","148"
"Number of Importing Enterprises","2020","Agriculture and Food (01-03,10-11)","Large (250 or more)","Number","54"
"Number of Importing Enterprises","2020","Agriculture and Food (01-03,10-11)","Unknown","Number",""
"Number of Importing Enterprises","2020","Agriculture and Food (01-03,10-11)","All Enterprises","Number","2604"
"Number of Importing Enterprises","2020","Chemicals and Pharmaceuticals (20-21)","Micro (0 to 9)","Number","133"
"Number of Importing Enterprises","2020","Chemicals and Pharmaceuticals (20-21)","Small (10 to 49)","Number","56"
"Number of Importing Enterprises","2020","Chemicals and Pharmaceuticals (20-21)","Medium (50 to 249)","Number","48"
"Number of Importing Enterprises","2020","Chemicals and Pharmaceuticals (20-21)","Large (250 or more)","Number","37"
"Number of Importing Enterprises","2020","Chemicals and Pharmaceuticals (20-21)","Unknown","Number",""
"Number of Importing Enterprises","2020","Chemicals and Pharmaceuticals (20-21)","All Enterprises","Number","274"
"Number of Importing Enterprises","2020","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Micro (0 to 9)","Number","7670"
"Number of Importing Enterprises","2020","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Small (10 to 49)","Number","1820"
"Number of Importing Enterprises","2020","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Medium (50 to 249)","Number","496"
"Number of Importing Enterprises","2020","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Large (250 or more)","Number","107"
"Number of Importing Enterprises","2020","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Unknown","Number",""
"Number of Importing Enterprises","2020","Other Manufacturing and Construction (05-09, 12-19, 22-43)","All Enterprises","Number","10093"
"Number of Importing Enterprises","2020","Wholesale and Retail (45-47)","Micro (0 to 9)","Number","13273"
"Number of Importing Enterprises","2020","Wholesale and Retail (45-47)","Small (10 to 49)","Number","3079"
"Number of Importing Enterprises","2020","Wholesale and Retail (45-47)","Medium (50 to 249)","Number","551"
"Number of Importing Enterprises","2020","Wholesale and Retail (45-47)","Large (250 or more)","Number","92"
"Number of Importing Enterprises","2020","Wholesale and Retail (45-47)","Unknown","Number",""
"Number of Importing Enterprises","2020","Wholesale and Retail (45-47)","All Enterprises","Number","16995"
"Number of Importing Enterprises","2020","Services/other (49-98)","Micro (0 to 9)","Number","8498"
"Number of Importing Enterprises","2020","Services/other (49-98)","Small (10 to 49)","Number","2335"
"Number of Importing Enterprises","2020","Services/other (49-98)","Medium (50 to 249)","Number","769"
"Number of Importing Enterprises","2020","Services/other (49-98)","Large (250 or more)","Number","336"
"Number of Importing Enterprises","2020","Services/other (49-98)","Unknown","Number",""
"Number of Importing Enterprises","2020","Services/other (49-98)","All Enterprises","Number","11938"
"Number of Importing Enterprises","2020","Unknown","Micro (0 to 9)","Number",""
"Number of Importing Enterprises","2020","Unknown","Small (10 to 49)","Number",""
"Number of Importing Enterprises","2020","Unknown","Medium (50 to 249)","Number",""
"Number of Importing Enterprises","2020","Unknown","Large (250 or more)","Number",""
"Number of Importing Enterprises","2020","Unknown","Unknown","Number","2"
"Number of Importing Enterprises","2020","Unknown","All Enterprises","Number","2"
"Number of Importing Enterprises","2020","All sectors","Micro (0 to 9)","Number","31657"
"Number of Importing Enterprises","2020","All sectors","Small (10 to 49)","Number","7609"
"Number of Importing Enterprises","2020","All sectors","Medium (50 to 249)","Number","2012"
"Number of Importing Enterprises","2020","All sectors","Large (250 or more)","Number","626"
"Number of Importing Enterprises","2020","All sectors","Unknown","Number","2"
"Number of Importing Enterprises","2020","All sectors","All Enterprises","Number","41906"
"Number of Importing Enterprises","2021","Agriculture and Food (01-03,10-11)","Micro (0 to 9)","Number","2219"
"Number of Importing Enterprises","2021","Agriculture and Food (01-03,10-11)","Small (10 to 49)","Number","421"
"Number of Importing Enterprises","2021","Agriculture and Food (01-03,10-11)","Medium (50 to 249)","Number","166"
"Number of Importing Enterprises","2021","Agriculture and Food (01-03,10-11)","Large (250 or more)","Number","59"
"Number of Importing Enterprises","2021","Agriculture and Food (01-03,10-11)","Unknown","Number",""
"Number of Importing Enterprises","2021","Agriculture and Food (01-03,10-11)","All Enterprises","Number","2865"
"Number of Importing Enterprises","2021","Chemicals and Pharmaceuticals (20-21)","Micro (0 to 9)","Number","204"
"Number of Importing Enterprises","2021","Chemicals and Pharmaceuticals (20-21)","Small (10 to 49)","Number","59"
"Number of Importing Enterprises","2021","Chemicals and Pharmaceuticals (20-21)","Medium (50 to 249)","Number","50"
"Number of Importing Enterprises","2021","Chemicals and Pharmaceuticals (20-21)","Large (250 or more)","Number","38"
"Number of Importing Enterprises","2021","Chemicals and Pharmaceuticals (20-21)","Unknown","Number",""
"Number of Importing Enterprises","2021","Chemicals and Pharmaceuticals (20-21)","All Enterprises","Number","351"
"Number of Importing Enterprises","2021","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Micro (0 to 9)","Number","8483"
"Number of Importing Enterprises","2021","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Small (10 to 49)","Number","2357"
"Number of Importing Enterprises","2021","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Medium (50 to 249)","Number","610"
"Number of Importing Enterprises","2021","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Large (250 or more)","Number","117"
"Number of Importing Enterprises","2021","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Unknown","Number",""
"Number of Importing Enterprises","2021","Other Manufacturing and Construction (05-09, 12-19, 22-43)","All Enterprises","Number","11567"
"Number of Importing Enterprises","2021","Wholesale and Retail (45-47)","Micro (0 to 9)","Number","15773"
"Number of Importing Enterprises","2021","Wholesale and Retail (45-47)","Small (10 to 49)","Number","3549"
"Number of Importing Enterprises","2021","Wholesale and Retail (45-47)","Medium (50 to 249)","Number","593"
"Number of Importing Enterprises","2021","Wholesale and Retail (45-47)","Large (250 or more)","Number","104"
"Number of Importing Enterprises","2021","Wholesale and Retail (45-47)","Unknown","Number",""
"Number of Importing Enterprises","2021","Wholesale and Retail (45-47)","All Enterprises","Number","20019"
"Number of Importing Enterprises","2021","Services/other (49-98)","Micro (0 to 9)","Number","9631"
"Number of Importing Enterprises","2021","Services/other (49-98)","Small (10 to 49)","Number","3152"
"Number of Importing Enterprises","2021","Services/other (49-98)","Medium (50 to 249)","Number","1115"
"Number of Importing Enterprises","2021","Services/other (49-98)","Large (250 or more)","Number","429"
"Number of Importing Enterprises","2021","Services/other (49-98)","Unknown","Number",""
"Number of Importing Enterprises","2021","Services/other (49-98)","All Enterprises","Number","14327"
"Number of Importing Enterprises","2021","Unknown","Micro (0 to 9)","Number",""
"Number of Importing Enterprises","2021","Unknown","Small (10 to 49)","Number",""
"Number of Importing Enterprises","2021","Unknown","Medium (50 to 249)","Number",""
"Number of Importing Enterprises","2021","Unknown","Large (250 or more)","Number",""
"Number of Importing Enterprises","2021","Unknown","Unknown","Number","2"
"Number of Importing Enterprises","2021","Unknown","All Enterprises","Number","2"
"Number of Importing Enterprises","2021","All sectors","Micro (0 to 9)","Number","36310"
"Number of Importing Enterprises","2021","All sectors","Small (10 to 49)","Number","9538"
"Number of Importing Enterprises","2021","All sectors","Medium (50 to 249)","Number","2534"
"Number of Importing Enterprises","2021","All sectors","Large (250 or more)","Number","747"
"Number of Importing Enterprises","2021","All sectors","Unknown","Number","2"
"Number of Importing Enterprises","2021","All sectors","All Enterprises","Number","49131"
"Number of Importing Enterprises","2022","Agriculture and Food (01-03,10-11)","Micro (0 to 9)","Number","2147"
"Number of Importing Enterprises","2022","Agriculture and Food (01-03,10-11)","Small (10 to 49)","Number","411"
"Number of Importing Enterprises","2022","Agriculture and Food (01-03,10-11)","Medium (50 to 249)","Number","172"
"Number of Importing Enterprises","2022","Agriculture and Food (01-03,10-11)","Large (250 or more)","Number","60"
"Number of Importing Enterprises","2022","Agriculture and Food (01-03,10-11)","Unknown","Number",""
"Number of Importing Enterprises","2022","Agriculture and Food (01-03,10-11)","All Enterprises","Number","2790"
"Number of Importing Enterprises","2022","Chemicals and Pharmaceuticals (20-21)","Micro (0 to 9)","Number","230"
"Number of Importing Enterprises","2022","Chemicals and Pharmaceuticals (20-21)","Small (10 to 49)","Number","58"
"Number of Importing Enterprises","2022","Chemicals and Pharmaceuticals (20-21)","Medium (50 to 249)","Number","53"
"Number of Importing Enterprises","2022","Chemicals and Pharmaceuticals (20-21)","Large (250 or more)","Number","36"
"Number of Importing Enterprises","2022","Chemicals and Pharmaceuticals (20-21)","Unknown","Number",""
"Number of Importing Enterprises","2022","Chemicals and Pharmaceuticals (20-21)","All Enterprises","Number","377"
"Number of Importing Enterprises","2022","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Micro (0 to 9)","Number","8641"
"Number of Importing Enterprises","2022","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Small (10 to 49)","Number","2405"
"Number of Importing Enterprises","2022","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Medium (50 to 249)","Number","630"
"Number of Importing Enterprises","2022","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Large (250 or more)","Number","117"
"Number of Importing Enterprises","2022","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Unknown","Number",""
"Number of Importing Enterprises","2022","Other Manufacturing and Construction (05-09, 12-19, 22-43)","All Enterprises","Number","11793"
"Number of Importing Enterprises","2022","Wholesale and Retail (45-47)","Micro (0 to 9)","Number","15673"
"Number of Importing Enterprises","2022","Wholesale and Retail (45-47)","Small (10 to 49)","Number","3601"
"Number of Importing Enterprises","2022","Wholesale and Retail (45-47)","Medium (50 to 249)","Number","605"
"Number of Importing Enterprises","2022","Wholesale and Retail (45-47)","Large (250 or more)","Number","101"
"Number of Importing Enterprises","2022","Wholesale and Retail (45-47)","Unknown","Number",""
"Number of Importing Enterprises","2022","Wholesale and Retail (45-47)","All Enterprises","Number","19980"
"Number of Importing Enterprises","2022","Services/other (49-98)","Micro (0 to 9)","Number","9674"
"Number of Importing Enterprises","2022","Services/other (49-98)","Small (10 to 49)","Number","3293"
"Number of Importing Enterprises","2022","Services/other (49-98)","Medium (50 to 249)","Number","1232"
"Number of Importing Enterprises","2022","Services/other (49-98)","Large (250 or more)","Number","466"
"Number of Importing Enterprises","2022","Services/other (49-98)","Unknown","Number",""
"Number of Importing Enterprises","2022","Services/other (49-98)","All Enterprises","Number","14665"
"Number of Importing Enterprises","2022","Unknown","Micro (0 to 9)","Number",""
"Number of Importing Enterprises","2022","Unknown","Small (10 to 49)","Number",""
"Number of Importing Enterprises","2022","Unknown","Medium (50 to 249)","Number",""
"Number of Importing Enterprises","2022","Unknown","Large (250 or more)","Number",""
"Number of Importing Enterprises","2022","Unknown","Unknown","Number","2"
"Number of Importing Enterprises","2022","Unknown","All Enterprises","Number","2"
"Number of Importing Enterprises","2022","All sectors","Micro (0 to 9)","Number","36365"
"Number of Importing Enterprises","2022","All sectors","Small (10 to 49)","Number","9768"
"Number of Importing Enterprises","2022","All sectors","Medium (50 to 249)","Number","2692"
"Number of Importing Enterprises","2022","All sectors","Large (250 or more)","Number","780"
"Number of Importing Enterprises","2022","All sectors","Unknown","Number","2"
"Number of Importing Enterprises","2022","All sectors","All Enterprises","Number","49607"
